stem,rms_contrast,mask,label
IMG088_00111,0.2613745331764221,00111,person_politik_text
IMG092_00111,0.2005298882722854,00111,person_politik_text
IMG099_00111,0.2431633621454239,00111,person_politik_text
IMG100_00111,0.2835344970226288,00111,person_politik_text
IMG102_00111,0.2269957363605499,00111,person_politik_text
IMG106_10011,0.3058222830295563,10011,meme_politik_text
IMG109_10011,0.2681230306625366,10011,meme_politik_text
IMG131_00111,0.1749984472990036,00111,person_politik_text
IMG134_00111,0.4291742444038391,00111,person_politik_text
IMG136_00111,0.2998248934745788,00111,person_politik_text
IMG137_00111,0.2439328134059906,00111,person_politik_text
IMG138_00111,0.3363524377346039,00111,person_politik_text
IMG139_00111,0.2885114848613739,00111,person_politik_text
IMG140_00111,0.2346233278512954,00111,person_politik_text
IMG141_10011,0.3375422954559326,10011,meme_politik_text
IMG150_10011,0.293235570192337,10011,meme_politik_text
IMG151_10011,0.3994610905647278,10011,meme_politik_text
IMG152_10011,0.2827899754047394,10011,meme_politik_text
