pair,p_raw,p_fdr,effect_rbc
meme vs person,0.04612994109109536,0.27677964654657217,-0.6020408163265306
meme vs ort,0.09948400412796699,0.29845201238390096,-0.5625
meme vs text,0.22857142857142856,0.4244909620196621,-0.6666666666666667
ort vs person,0.2829939746797747,0.4244909620196621,-0.18112244897959184
ort vs text,0.5593395252837977,0.6018099547511313,-0.25
person vs text,0.6018099547511313,0.6018099547511313,-0.19727891156462585
