participantID,imageID,categoryCode,duration,words
01,001,10100,5.790601,0
01,002,10100,6.955267,0
01,003,10000,5.940504,0
01,004,10100,6.223444,0
01,005,10100,5.458003,0
01,006,10000,5.557883,0
01,007,10000,5.408094,0
01,008,10100,7.471107,0
01,009,10100,5.341448,0
01,010,10000,7.554738,0
01,011,01001,8.603041,7
01,012,01001,8.702701,34
01,013,01001,5.041984,15
01,014,01000,13.910971,0
01,015,01001,7.205309,6
01,016,01001,15.0,19
01,017,01001,5.591017,12
01,018,01000,7.717351,0
01,019,01000,5.174849,0
01,020,01000,8.752526,0
01,021,01000,9.884299,0
01,022,01000,7.388185,0
01,023,01000,5.029684,0
01,024,01000,9.218502,0
01,025,01000,10.117423,0
01,026,01000,11.681276,0
01,027,01000,8.885766,0
01,028,01000,10.898993,0
01,029,01000,8.137053,0
01,030,01000,11.681174,0
01,031,01000,8.236829,0
01,032,01000,10.017066,0
01,033,00101,15.0,25
01,034,00100,15.0,0
01,035,00100,7.471316,0
01,036,00100,6.822229,0
01,037,00100,5.324702,0
01,038,00100,5.629815,0
01,039,00100,11.048997,0
01,040,00100,6.772586,0
01,041,00100,6.519481,0
01,042,00100,5.873791,0
01,043,00100,8.733161,0
01,044,00100,5.324765,0
01,045,00100,6.755733,0
01,046,00100,6.339862,0
01,047,00100,5.025329,0
01,048,00100,7.965239,0
01,049,00100,5.90724,0
01,050,00100,5.225114,0
01,051,00100,9.567835,0
01,052,00100,6.123651,0
01,053,00100,5.387869,0
01,054,00100,8.533656,0
01,055,00100,6.406346,0
01,056,00100,6.073346,0
01,057,00100,5.574623,0
01,058,00100,11.631401,0
01,059,00100,9.568245,0
01,060,00100,8.35314,0
01,061,00100,6.335308,0
01,062,00100,6.385461,0
01,063,00100,9.931321,0
01,064,00100,8.30365,0
01,065,00100,6.023682,0
01,066,00100,11.814309,0
01,067,00100,6.078312,0
01,068,00100,5.291468,0
01,069,00100,5.957322,0
01,070,00100,5.191672,0
01,071,00100,13.295316,0
01,072,00100,7.204985,0
01,073,00100,5.528605,0
01,074,00101,7.970565,3
01,075,00100,7.205084,0
01,076,00101,6.50619,2
01,077,00100,7.654479,0
01,078,00100,6.422985,0
01,079,00100,10.083854,0
01,080,00100,5.441288,0
01,081,00100,10.35,0
01,082,00101,5.873857,2
01,083,00100,6.656118,0
01,084,00101,10.782759,0
01,085,00100,5.507715,0
01,086,00100,6.306766,0
01,087,00101,6.955495,6
01,088,00111,7.820728,26
01,089,00110,5.890818,0
01,090,00110,5.391353,0
01,091,00110,8.586375,0
01,092,00111,10.38344,5
01,093,00110,9.089808,0
01,094,00110,5.907188,0
01,095,00110,8.469764,0
01,096,00110,5.557831,0
01,097,00110,6.123726,0
01,098,00110,7.787564,0
01,099,00111,9.365682,2
01,100,00111,5.174986,11
01,101,00110,11.082316,0
01,102,00111,12.52999,4
01,103,00110,6.339906,0
01,104,00110,7.587808,0
01,105,10110,10.632985,0
01,106,10011,10.18353,12
01,107,10111,10.849561,6
01,108,10001,5.890517,27
01,109,10011,5.391399,7
01,110,10001,7.038788,12
01,111,10001,7.038754,5
01,112,10001,5.221341,9
01,113,10101,8.319927,22
01,114,10001,5.574361,3
01,115,10001,8.536284,7
01,116,10111,12.080614,17
01,117,10111,9.534783,6
01,118,10001,11.363716,23
01,119,10001,11.697756,16
01,120,10001,7.221696,26
01,121,10101,6.173355,11
01,122,10111,7.304834,7
01,123,10111,6.17343,4
01,124,10111,9.218511,14
01,125,10001,8.369938,17
01,126,00011,13.46186,24
01,127,00011,5.258324,5
01,128,01001,5.541026,19
01,129,01001,7.021974,10
01,130,01001,6.456214,25
01,131,00111,7.471344,16
01,132,00101,9.335079,12
01,133,00101,5.308176,10
01,134,00111,15.0,24
01,135,10111,5.220286,3
01,136,00111,7.358385,25
01,137,00111,5.973772,4
01,138,00111,10.367056,23
01,139,00111,15.0,14
01,140,00111,10.766683,22
01,141,10011,11.182215,45
01,142,00001,5.890537,14
01,143,00001,15.0,19
01,144,00001,15.0,74
01,145,00011,9.20177,39
01,146,10001,15.0,73
01,147,10001,5.341538,19
01,148,10001,12.862924,36
01,149,10001,9.71774,34
01,150,10011,15.0,52
01,151,10011,15.0,50
01,152,10011,15.0,47
02,001,10100,8.186961,0
02,002,10100,9.01885,0
02,003,10000,6.190116,0
02,004,10100,7.271628,0
02,005,10100,10.067214,0
02,006,10000,6.406279,0
02,007,10000,9.879834,0
02,008,10100,9.601289,0
02,009,10100,15.0,0
02,010,10000,14.01105,0
02,011,01001,10.133732,7
02,012,01001,14.341337,34
02,013,01001,7.138605,15
02,014,01000,10.899385,0
02,015,01001,12.862447,6
02,016,01001,9.418217,19
02,017,01001,6.073665,12
02,018,01000,15.0,0
02,019,01000,9.318414,0
02,020,01000,13.51167,0
02,021,01000,15.0,0
02,022,01000,9.118636,0
02,023,01000,8.087018,0
02,024,01000,15.0,0
02,025,01000,7.537952,0
02,026,01000,8.636075,0
02,027,01000,7.188572,0
02,028,01000,13.062428,0
02,029,01000,15.0,0
02,030,01000,11.098777,0
02,031,01000,7.221941,0
02,032,01000,8.087263,0
02,033,00101,7.321573,25
02,034,00100,10.849367,0
02,035,00100,9.335081,0
02,036,00100,5.857173,0
02,037,00100,13.87782,0
02,038,00100,14.992491,0
02,039,00100,13.994144,0
02,040,00100,8.968943,0
02,041,00100,7.171352,0
02,042,00100,8.75279,0
02,043,00100,5.790781,0
02,044,00100,7.654735,0
02,046,00100,8.68614,0
02,047,00100,13.882994,0
02,048,00100,5.042064,0
02,049,00100,7.970447,0
02,050,00100,12.380178,0
02,051,00100,5.774331,0
02,052,00100,7.592527,0
02,053,00100,10.583274,0
02,054,00100,9.934114,0
02,055,00100,8.120408,0
02,056,00100,15.0,0
02,057,00100,10.383459,0
02,058,00100,15.0,0
02,059,00100,6.589437,0
02,060,00100,6.223244,0
02,061,00100,10.16694,0
02,062,00100,9.04838,0
02,063,00100,8.153709,0
02,064,00100,7.87066,0
02,065,00100,8.486433,0
02,066,00100,7.987059,0
02,067,00100,9.884015,0
02,068,00100,12.584146,0
02,069,00100,9.33515,0
02,070,00100,10.08393,0
02,071,00100,9.967595,0
02,072,00100,9.887027,0
02,073,00100,9.800851,0
02,074,00101,11.581782,3
02,075,00100,15.0,0
02,076,00101,6.922489,2
02,077,00100,5.961142,0
02,078,00100,14.740881,0
02,079,00100,6.63941,0
02,080,00100,11.348475,0
02,081,00100,11.43171,0
02,082,00101,13.328723,2
02,083,00100,13.944528,0
02,084,00101,8.053866,0
02,085,00100,15.0,0
02,086,00100,12.113902,0
02,087,00101,6.273338,6
02,088,00111,9.235262,26
02,089,00110,8.503267,0
