filename,N,R,REC,D_L,DET,H_L,V_L,LAM,CORM
P45_IMG015_01001_rqa_data.npz,30,47,10.804597701149426,17,36.170212765957444,26,21,50.0,26.265590608950845
P25_IMG148_10001_rqa_data.npz,36,12,1.9047619047619047,0,0.0,2,2,16.666666666666668,11.428571428571429
P03_IMG131_00111_rqa_data.npz,25,16,5.333333333333333,6,37.5,9,6,46.875,32.8125
P14_IMG026_01000_rqa_data.npz,22,10,4.329004329004329,4,40.0,0,2,10.0,39.04761904761905
P49_IMG090_00110_rqa_data.npz,18,43,28.104575163398692,20,46.51162790697674,32,24,65.11627906976744,37.34610123119015
P18_IMG132_00101_rqa_data.npz,34,21,3.7433155080213902,6,28.571428571428573,2,4,14.285714285714286,38.67243867243867
P10_IMG039_00100_rqa_data.npz,19,10,5.847953216374269,4,40.0,0,0,0.0,37.22222222222222
P37_IMG003_10000_rqa_data.npz,19,25,14.619883040935672,8,32.0,14,13,54.0,29.555555555555557
P18_IMG081_00100_rqa_data.npz,23,24,9.486166007905139,4,16.666666666666668,8,4,25.0,35.984848484848484
P11_IMG107_10111_rqa_data.npz,26,10,3.076923076923077,0,0.0,2,0,10.0,39.6
P02_IMG069_00100_rqa_data.npz,27,37,10.54131054131054,13,35.13513513513514,6,2,10.81081081081081,38.66943866943867
P45_IMG070_00100_rqa_data.npz,24,11,3.9855072463768115,3,27.272727272727273,7,2,40.90909090909091,34.387351778656125
P46_IMG044_00100_rqa_data.npz,55,99,6.666666666666667,31,31.31313131313131,51,50,51.01010101010101,23.34455667789001
P19_IMG117_10111_rqa_data.npz,18,17,11.11111111111111,6,35.294117647058826,12,10,64.70588235294117,35.294117647058826
P37_IMG118_10001_rqa_data.npz,29,11,2.70935960591133,0,0.0,2,0,9.090909090909092,30.51948051948052
P33_IMG126_00011_rqa_data.npz,49,71,6.037414965986395,38,53.521126760563384,14,10,16.901408450704224,36.76643192488263
P07_IMG017_01001_rqa_data.npz,45,56,5.656565656565657,25,44.642857142857146,23,28,45.535714285714285,30.032467532467532
P16_IMG010_10000_rqa_data.npz,18,142,92.81045751633987,141,99.29577464788733,137,140,97.53521126760563,37.03396851698426
P27_IMG139_00111_rqa_data.npz,40,77,9.871794871794872,33,42.857142857142854,51,37,57.142857142857146,25.907425907425907
P22_IMG091_00110_rqa_data.npz,16,5,4.166666666666667,2,40.0,0,0,0.0,12.0
P39_IMG103_00110_rqa_data.npz,31,71,15.268817204301076,25,35.2112676056338,40,44,59.15492957746479,29.248826291079812
P26_IMG061_00100_rqa_data.npz,32,46,9.274193548387096,11,23.91304347826087,10,22,34.78260869565217,37.9382889200561
P10_IMG142_00001_rqa_data.npz,23,3,1.1857707509881423,0,0.0,0,0,0.0,42.42424242424242
P25_IMG055_00100_rqa_data.npz,20,5,2.6315789473684212,2,40.0,0,0,0.0,16.842105263157894
P13_IMG110_10001_rqa_data.npz,23,9,3.5573122529644268,0,0.0,0,2,11.11111111111111,18.181818181818183
P21_IMG087_00101_rqa_data.npz,47,50,4.6253469010175765,14,28.0,17,25,42.0,22.91304347826087
P49_IMG047_00100_rqa_data.npz,21,22,10.476190476190476,2,9.090909090909092,8,6,31.818181818181817,36.13636363636363
P01_IMG139_00111_rqa_data.npz,37,51,7.657657657657658,32,62.745098039215684,22,29,50.0,33.66013071895425
P42_IMG005_10100_rqa_data.npz,20,9,4.7368421052631575,0,0.0,0,2,11.11111111111111,26.900584795321638
P30_IMG010_10000_rqa_data.npz,35,37,6.218487394957983,11,29.72972972972973,5,15,27.027027027027028,30.92209856915739
P04_IMG091_00110_rqa_data.npz,28,47,12.433862433862434,10,21.27659574468085,27,20,50.0,35.066981875492516
P18_IMG074_00101_rqa_data.npz,30,65,14.942528735632184,27,41.53846153846154,37,26,48.46153846153846,36.12732095490716
P41_IMG057_00100_rqa_data.npz,36,38,6.031746031746032,9,23.68421052631579,17,10,35.526315789473685,22.406015037593985
P42_IMG063_00100_rqa_data.npz,20,10,5.2631578947368425,2,20.0,0,0,0.0,27.894736842105264
P46_IMG093_00110_rqa_data.npz,20,25,13.157894736842104,6,24.0,9,8,34.0,33.473684210526315
P03_IMG055_00100_rqa_data.npz,23,15,5.928853754940712,2,13.333333333333334,5,6,36.666666666666664,33.63636363636363
P36_IMG142_00001_rqa_data.npz,17,2,1.4705882352941178,0,0.0,0,0,0.0,43.75
P08_IMG071_00100_rqa_data.npz,22,12,5.194805194805195,3,25.0,2,6,33.333333333333336,49.6031746031746
P47_IMG078_00100_rqa_data.npz,41,95,11.585365853658537,39,41.05263157894737,54,45,52.10526315789474,37.78947368421053
P07_IMG087_00101_rqa_data.npz,33,31,5.871212121212121,9,29.032258064516128,19,7,41.935483870967744,29.43548387096774
P35_IMG110_10001_rqa_data.npz,28,17,4.497354497354498,12,70.58823529411765,11,10,61.76470588235294,7.8431372549019605
P25_IMG131_00111_rqa_data.npz,24,6,2.1739130434782608,0,0.0,2,0,16.666666666666668,36.95652173913044
P03_IMG148_10001_rqa_data.npz,48,23,2.0390070921985815,2,8.695652173913043,0,4,8.695652173913043,12.303422756706754
P29_IMG004_10100_rqa_data.npz,26,31,9.538461538461538,11,35.483870967741936,6,10,25.806451612903224,24.129032258064516
P28_IMG089_00110_rqa_data.npz,19,12,7.017543859649122,2,16.666666666666668,2,2,16.666666666666668,41.2037037037037
P22_IMG046_00100_rqa_data.npz,16,9,7.5,0,0.0,2,2,22.22222222222222,45.18518518518518
P21_IMG072_00100_rqa_data.npz,43,120,13.289036544850498,74,61.666666666666664,70,65,56.25,26.686507936507937
P40_IMG109_10011_rqa_data.npz,27,13,3.7037037037037037,6,46.15384615384615,4,4,30.76923076923077,32.248520710059175
P36_IMG039_00100_rqa_data.npz,18,12,7.8431372549019605,6,50.0,8,8,66.66666666666667,19.11764705882353
P29_IMG062_00100_rqa_data.npz,19,8,4.678362573099415,0,0.0,0,0,0.0,43.05555555555556
P32_IMG026_01000_rqa_data.npz,41,30,3.658536585365854,11,36.666666666666664,8,9,28.333333333333332,42.166666666666664
P24_IMG069_00100_rqa_data.npz,11,6,10.909090909090908,0,0.0,0,2,16.666666666666668,40.0
P37_IMG107_10111_rqa_data.npz,30,22,5.057471264367816,8,36.36363636363637,6,2,18.181818181818183,33.22884012539185
P19_IMG108_10001_rqa_data.npz,44,38,4.016913319238901,17,44.73684210526316,10,16,34.21052631578947,15.850673194614442
P11_IMG003_10000_rqa_data.npz,16,19,15.833333333333334,6,31.57894736842105,10,10,52.63157894736842,36.49122807017544
P21_IMG017_01001_rqa_data.npz,56,54,3.5064935064935066,26,48.148148148148145,12,8,18.51851851851852,31.48148148148148
P15_IMG126_00011_rqa_data.npz,51,59,4.627450980392157,12,20.338983050847457,6,9,12.711864406779661,33.32203389830509
P11_IMG118_10001_rqa_data.npz,51,57,4.470588235294118,20,35.08771929824562,12,4,14.035087719298245,39.228070175438596
P35_IMG113_10101_rqa_data.npz,34,20,3.5650623885918002,6,30.0,4,2,15.0,21.96969696969697
P35_IMG008_10100_rqa_data.npz,24,55,19.92753623188406,33,60.0,38,36,67.27272727272727,30.988142292490117
P30_IMG075_00100_rqa_data.npz,18,22,14.379084967320262,7,31.818181818181817,8,12,45.45454545454545,40.90909090909091
P36_IMG105_10110_rqa_data.npz,33,17,3.2196969696969697,2,11.764705882352942,7,0,20.58823529411765,15.257352941176471
P33_IMG041_00100_rqa_data.npz,14,9,9.89010989010989,0,0.0,2,2,22.22222222222222,43.58974358974359
P37_IMG102_00111_rqa_data.npz,11,15,27.272727272727273,5,33.333333333333336,9,5,46.666666666666664,36.666666666666664
P34_IMG136_00111_rqa_data.npz,58,110,6.654567453115548,34,30.90909090909091,22,33,25.0,32.822966507177036
P15_IMG145_00011_rqa_data.npz,59,40,2.33781414377557,11,27.5,6,8,17.5,29.870689655172413
P23_IMG021_01000_rqa_data.npz,22,11,4.761904761904762,0,0.0,0,0,0.0,50.64935064935065
P42_IMG006_10000_rqa_data.npz,21,8,3.8095238095238093,2,25.0,0,0,0.0,56.875
P38_IMG065_00100_rqa_data.npz,37,91,13.663663663663664,40,43.956043956043956,64,62,69.23076923076923,36.385836385836384
P41_IMG034_00100_rqa_data.npz,41,28,3.4146341463414633,2,7.142857142857143,6,6,21.428571428571427,22.767857142857142
P11_IMG066_00100_rqa_data.npz,18,5,3.2679738562091503,0,0.0,2,0,20.0,50.588235294117645
P12_IMG052_00100_rqa_data.npz,22,19,8.225108225108226,4,21.05263157894737,2,4,15.789473684210526,43.609022556390975
P02_IMG129_01001_rqa_data.npz,21,5,2.380952380952381,2,40.0,0,0,0.0,29.0
P45_IMG130_01001_rqa_data.npz,26,21,6.461538461538462,8,38.095238095238095,10,12,52.38095238095238,12.571428571428571
P02_IMG032_01000_rqa_data.npz,29,12,2.955665024630542,4,33.333333333333336,2,4,25.0,39.285714285714285
P13_IMG033_00101_rqa_data.npz,25,20,6.666666666666667,4,20.0,2,10,30.0,12.291666666666666
P36_IMG147_10001_rqa_data.npz,23,6,2.3715415019762847,2,33.333333333333336,2,2,33.333333333333336,10.606060606060606
P40_IMG030_01000_rqa_data.npz,18,7,4.57516339869281,0,0.0,0,0,0.0,53.78151260504202
P19_IMG013_01001_rqa_data.npz,21,13,6.190476190476191,4,30.76923076923077,2,2,15.384615384615385,21.53846153846154
P17_IMG049_00100_rqa_data.npz,47,56,5.180388529139686,12,21.428571428571427,16,17,29.464285714285715,34.899068322981364
P03_IMG036_00100_rqa_data.npz,18,8,5.228758169934641,4,50.0,5,2,43.75,66.17647058823529
P15_IMG096_00110_rqa_data.npz,39,28,3.7786774628879893,4,14.285714285714286,0,6,10.714285714285714,35.714285714285715
P06_IMG085_00100_rqa_data.npz,48,87,7.712765957446808,24,27.586206896551722,15,38,30.45977011494253,37.784299339691856
P07_IMG029_01000_rqa_data.npz,29,23,5.665024630541872,7,30.434782608695652,9,8,36.95652173913044,31.987577639751553
P29_IMG007_10000_rqa_data.npz,25,27,9.0,8,29.62962962962963,6,8,25.925925925925927,31.944444444444443
P48_IMG020_01000_rqa_data.npz,21,8,3.8095238095238093,0,0.0,0,0,0.0,45.625
P29_IMG009_10100_rqa_data.npz,20,19,10.0,9,47.36842105263158,8,6,36.8421052631579,32.686980609418285
P32_IMG130_01001_rqa_data.npz,46,40,3.864734299516908,14,35.0,23,18,51.25,21.88888888888889
P36_IMG034_00100_rqa_data.npz,17,8,5.882352941176471,4,50.0,4,4,50.0,28.90625
P39_IMG135_10111_rqa_data.npz,41,80,9.75609756097561,34,42.5,30,20,31.25,31.28125
P20_IMG094_00110_rqa_data.npz,18,13,8.49673202614379,0,0.0,6,0,23.076923076923077,36.65158371040724
P24_IMG064_00100_rqa_data.npz,11,9,16.363636363636363,4,44.44444444444444,5,0,27.77777777777778,37.77777777777778
P27_IMG050_00100_rqa_data.npz,43,44,4.872646733111849,10,22.727272727272727,6,7,14.772727272727273,30.79004329004329
P11_IMG115_10001_rqa_data.npz,29,10,2.4630541871921183,4,40.0,2,0,10.0,12.857142857142858
P28_IMG137_00111_rqa_data.npz,11,8,14.545454545454545,2,25.0,4,3,43.75,43.75
P24_IMG002_10100_rqa_data.npz,14,15,16.483516483516482,2,13.333333333333334,6,0,20.0,45.64102564102564
P41_IMG147_10001_rqa_data.npz,53,89,6.4586357039187225,26,29.213483146067414,13,25,21.348314606741575,32.64909248055316
P23_IMG082_00101_rqa_data.npz,21,9,4.285714285714286,2,22.22222222222222,0,0,0.0,32.22222222222222
P37_IMG030_01000_rqa_data.npz,10,7,15.555555555555555,0,0.0,2,2,28.571428571428573,36.507936507936506
P02_IMG106_10011_rqa_data.npz,40,18,2.3076923076923075,2,11.11111111111111,0,4,11.11111111111111,36.18233618233618
P19_IMG092_00111_rqa_data.npz,25,24,8.0,13,54.166666666666664,14,11,52.083333333333336,30.90277777777778
P05_IMG077_00100_rqa_data.npz,29,14,3.4482758620689653,2,14.285714285714286,0,2,7.142857142857143,40.05102040816327
P06_IMG043_00100_rqa_data.npz,42,78,9.059233449477352,24,30.76923076923077,33,13,29.487179487179485,33.646028767979985
P42_IMG008_10100_rqa_data.npz,17,14,10.294117647058824,5,35.714285714285715,2,6,28.571428571428573,29.464285714285715
P02_IMG100_00111_rqa_data.npz,32,16,3.225806451612903,8,50.0,0,2,6.25,32.86290322580645
P01_IMG134_00111_rqa_data.npz,40,93,11.923076923076923,64,68.81720430107526,68,51,63.97849462365591,17.231872070581748
P42_IMG113_10101_rqa_data.npz,31,20,4.301075268817204,2,10.0,4,0,10.0,24.333333333333332
P16_IMG023_01000_rqa_data.npz,59,128,7.481005260081823,53,41.40625,53,51,40.625,29.95689655172414
P35_IMG006_10000_rqa_data.npz,27,14,3.988603988603989,0,0.0,2,2,14.285714285714286,37.91208791208791
