stem,lap_var_norm
IMG001_10100,0.0030914109293423936
IMG002_10100,0.003158001849256944
IMG003_10000,0.0035021481562714815
IMG004_10100,0.011823600648139252
IMG005_10100,0.006648603724791842
IMG006_10000,0.010318017111760478
IMG007_10000,0.03571289420856385
IMG008_10100,0.0020710859061418823
IMG009_10100,0.007554845291086345
IMG010_10000,0.010908583202257096
IMG011_01001,0.0097818908025763
IMG012_01001,0.12239021106168786
IMG013_01001,0.0936491563647407
IMG014_01000,0.05984310485946264
IMG015_01001,0.010911314416367461
IMG016_01001,0.06517434708442565
IMG017_01001,0.06343057033221679
IMG018_01000,0.041598167031819316
IMG019_01000,0.10653983111966632
IMG020_01000,0.011409643378783928
IMG021_01000,0.052019860482657075
IMG022_01000,0.019031128558312273
IMG023_01000,0.005766171736580754
IMG024_01000,0.011576716204326064
IMG025_01000,0.04570329752426202
IMG026_01000,0.018480132849785152
IMG027_01000,0.005229041817038566
IMG028_01000,0.024555877184239624
IMG029_01000,0.016066363587637106
IMG030_01000,0.011686880092114996
IMG031_01000,0.007212630982671115
IMG032_01000,0.012902758045292022
IMG033_00101,0.03674573107094769
IMG034_00100,0.01730362124751066
IMG035_00100,0.04484478204881824
IMG036_00100,0.014471949216553896
IMG037_00100,0.04682063329945612
IMG038_00100,0.00555524941563125
IMG039_00100,0.019560168095690854
IMG040_00100,0.012837291940590937
IMG041_00100,0.012532788455651908
IMG042_00100,0.010759808925409115
IMG043_00100,0.03603159916221715
IMG044_00100,0.012674085946256979
IMG045_00100,0.04102613825591924
IMG046_00100,0.0022183316257112047
IMG047_00100,0.023581190076570207
IMG048_00100,0.01341130878764923
IMG049_00100,0.040760908075668574
IMG050_00100,0.06350767833050773
IMG051_00100,0.002034892688241519
IMG052_00100,0.0025436949062469893
IMG053_00100,0.004779030305480258
IMG054_00100,0.040793707081829604
IMG055_00100,0.018572545298866937
IMG056_00100,0.03418270920853759
IMG057_00100,0.011778805358484377
IMG058_00100,0.02262955196574311
IMG059_00100,0.01595164130995998
IMG060_00100,0.017289336772850255
IMG061_00100,0.02859938746051042
IMG062_00100,0.009048253914880231
IMG063_00100,0.009506304039990318
IMG064_00100,0.009170098461293102
IMG065_00100,0.012491701912946749
IMG066_00100,0.05015285663365321
IMG067_00100,0.006894135005273605
IMG068_00100,0.05107010377188495
IMG069_00100,0.016422942275766288
IMG070_00100,0.02321448141815741
IMG071_00100,0.01968693024671638
IMG072_00100,0.004778143587814128
IMG073_00100,0.02309665408943488
IMG074_00101,0.01035612660291677
IMG075_00100,0.02082525892684204
IMG076_00101,0.02936100152313746
IMG077_00100,0.008705537907243313
IMG078_00100,0.022647143480599305
IMG079_00100,0.018581166542010093
IMG080_00100,0.006094896887239693
IMG081_00100,0.003947727293002094
IMG082_00101,0.001285862141338054
IMG083_00100,0.056438766927370244
IMG084_00101,0.008297576617511435
IMG085_00100,0.0031702467870100663
IMG086_00100,0.0017626294327086958
IMG087_00101,0.005352956294803937
IMG088_00111,0.036375375654363606
IMG089_00110,0.002707809538704541
IMG090_00110,0.004295495948435853
IMG091_00110,0.007829308617716961
IMG092_00111,0.05518563004043958
IMG093_00110,0.007286934067309754
IMG094_00110,0.014627781707360146
IMG095_00110,0.023524395260772994
IMG096_00110,0.009233198810236865
IMG097_00110,0.01626557594419356
IMG098_00110,0.010450790486019703
IMG099_00111,0.0034800801027961665
IMG100_00111,0.031749650771317736
IMG101_00110,0.030918754782193875
IMG102_00111,0.0012619757328008964
IMG103_00110,0.00231514879864992
IMG104_00110,0.005758329576451337
IMG105_10110,0.045601867214517755
IMG106_10011,0.02315907255852276
IMG107_10111,0.02632382988583566
IMG108_10001,0.04370068122435416
IMG109_10011,0.015086158805110403
IMG110_10001,0.010457707192976031
IMG111_10001,0.01546435734985061
IMG112_10001,0.016559024908682007
IMG113_10101,0.02329859459857318
IMG114_10001,0.003807720832790988
IMG115_10001,0.026657621301005904
IMG116_10111,0.03135255037681839
IMG117_10111,0.009552287670146839
IMG118_10001,0.02442148916845665
IMG119_10001,0.02785713812934473
IMG120_10001,0.057484322565047805
IMG121_10101,0.017660918847456398
IMG122_10111,0.0246717986207995
IMG123_10111,0.01130918894469713
IMG124_10111,0.009548031568035525
IMG125_10001,0.03988602622892866
IMG126_00011,0.02654208460493541
IMG127_00011,0.0061449050243224885
IMG128_01001,0.00833234608406251
IMG129_01001,0.016272117934976165
IMG130_01001,0.02794481987842237
IMG131_00111,0.04263134290206128
IMG132_00101,0.016168993142230418
IMG133_00101,0.01998785494744898
IMG134_00111,0.010612107676232892
IMG135_10111,0.008991472081230916
IMG136_00111,0.027882935274123326
IMG137_00111,0.021904069597004524
IMG138_00111,0.014953954342157509
IMG139_00111,0.02305997270186013
IMG140_00111,0.005278306773587891
IMG141_10011,0.03879277010965223
IMG142_00001,0.04716010797781266
IMG143_00001,0.04934088373049351
IMG144_00001,0.018125942306194725
IMG145_00011,0.09712554940215921
IMG146_10001,0.11081591582855299
IMG147_10001,0.005305796459389363
IMG148_10001,0.07770582135754896
IMG149_10001,0.017981036750354545
IMG150_10011,0.045539513895476856
IMG151_10011,0.029761189451152834
IMG152_10011,0.03980384219507323
