stem,lap_var_norm,mask,label
IMG003_10000,0.0035021481562714,10000,meme
IMG006_10000,0.0103180171117604,10000,meme
IMG007_10000,0.0357128942085638,10000,meme
IMG010_10000,0.010908583202257,10000,meme
IMG014_01000,0.0598431048594626,01000,ort
IMG018_01000,0.0415981670318193,01000,ort
IMG019_01000,0.1065398311196663,01000,ort
IMG020_01000,0.0114096433787839,01000,ort
IMG021_01000,0.052019860482657,01000,ort
IMG022_01000,0.0190311285583122,01000,ort
IMG023_01000,0.0057661717365807,01000,ort
IMG024_01000,0.011576716204326,01000,ort
IMG025_01000,0.045703297524262,01000,ort
IMG026_01000,0.0184801328497851,01000,ort
IMG027_01000,0.0052290418170385,01000,ort
IMG028_01000,0.0245558771842396,01000,ort
IMG029_01000,0.0160663635876371,01000,ort
IMG030_01000,0.0116868800921149,01000,ort
IMG031_01000,0.0072126309826711,01000,ort
IMG032_01000,0.012902758045292,01000,ort
IMG034_00100,0.0173036212475106,00100,person
IMG035_00100,0.0448447820488182,00100,person
IMG036_00100,0.0144719492165538,00100,person
IMG037_00100,0.0468206332994561,00100,person
IMG038_00100,0.0055552494156312,00100,person
IMG039_00100,0.0195601680956908,00100,person
IMG040_00100,0.0128372919405909,00100,person
IMG041_00100,0.0125327884556519,00100,person
IMG042_00100,0.0107598089254091,00100,person
IMG043_00100,0.0360315991622171,00100,person
IMG044_00100,0.0126740859462569,00100,person
IMG045_00100,0.0410261382559192,00100,person
IMG046_00100,0.0022183316257112,00100,person
IMG047_00100,0.0235811900765702,00100,person
IMG048_00100,0.0134113087876492,00100,person
IMG049_00100,0.0407609080756685,00100,person
IMG050_00100,0.0635076783305077,00100,person
IMG051_00100,0.0020348926882415,00100,person
IMG052_00100,0.0025436949062469,00100,person
IMG053_00100,0.0047790303054802,00100,person
IMG054_00100,0.0407937070818296,00100,person
IMG055_00100,0.0185725452988669,00100,person
IMG056_00100,0.0341827092085375,00100,person
IMG057_00100,0.0117788053584843,00100,person
IMG058_00100,0.0226295519657431,00100,person
IMG059_00100,0.0159516413099599,00100,person
IMG060_00100,0.0172893367728502,00100,person
IMG061_00100,0.0285993874605104,00100,person
IMG062_00100,0.0090482539148802,00100,person
IMG063_00100,0.0095063040399903,00100,person
IMG064_00100,0.0091700984612931,00100,person
IMG065_00100,0.0124917019129467,00100,person
IMG066_00100,0.0501528566336532,00100,person
IMG067_00100,0.0068941350052736,00100,person
IMG068_00100,0.0510701037718849,00100,person
IMG069_00100,0.0164229422757662,00100,person
IMG070_00100,0.0232144814181574,00100,person
IMG071_00100,0.0196869302467163,00100,person
IMG072_00100,0.0047781435878141,00100,person
IMG073_00100,0.0230966540894348,00100,person
IMG075_00100,0.020825258926842,00100,person
IMG077_00100,0.0087055379072433,00100,person
IMG078_00100,0.0226471434805993,00100,person
IMG079_00100,0.01858116654201,00100,person
IMG080_00100,0.0060948968872396,00100,person
IMG081_00100,0.003947727293002,00100,person
IMG083_00100,0.0564387669273702,00100,person
IMG085_00100,0.00317024678701,00100,person
IMG086_00100,0.0017626294327086,00100,person
IMG142_00001,0.0471601079778126,00001,text
IMG143_00001,0.0493408837304935,00001,text
IMG144_00001,0.0181259423061947,00001,text
