key,rms,label,n_fix_mean_trim,tot_dur_mean_trim,med_dur_mean_trim,n_viewers
img001_10100,0.303157240152359,meme_person,23.829787234042552,7251.851851851943,222.46376811640093,98
img002_10100,0.3498778641223907,meme_person,26.361702127659573,7608.518518519385,242.9629629635838,98
img003_10000,0.1730196475982666,meme,23.282608695652176,7054.07407407794,242.5925925929065,98
img004_10100,0.23322594165802,meme_person,27.466666666666665,7951.111111109872,225.37037037008153,98
img005_10100,0.2256990075111389,meme_person,28.711111111111112,7725.185185188073,220.00000000037252,98
img006_10000,0.2025977224111557,meme,26.282608695652176,6668.518518516537,222.9629629627077,98
img007_10000,0.162875086069107,meme,25.622222222222224,7198.5185185147075,230.37037037060153,98
img008_10100,0.1956914067268371,meme_person,21.318181818181817,7288.63636363757,232.96296296291476,96
img009_10100,0.2997885942459106,meme_person,29.391304347826086,7721.481481482681,224.2592592596353,98
img010_10000,0.2074823975563049,meme,30.57777777777778,8802.222222221997,233.69565217383206,98
img011_01001,0.3323492407798767,ort_text,28.333333333333332,6687.037037039808,192.5724637689831,98
img012_01001,0.2241435945034027,ort_text,50.97826086956522,9986.29629629918,184.21985815630228,98
img013_01001,0.3003778159618377,ort_text,31.282608695652176,6703.333333331761,191.66666666705808,98
img014_01000,0.2307924181222915,ort,27.6,6951.111111110082,227.17391304305815,98
img015_01001,0.2950083613395691,ort_text,29.76086956521739,8847.777777783554,242.59259259338933,98
img016_01001,0.1805267184972763,ort_text,30.934782608695652,6642.222222218947,180.07246376829488,98
img017_01001,0.1643425077199936,ort_text,31.543478260869566,6384.444444442251,179.16666666692333,98
img018_01000,0.3128288388252258,ort,25.022222222222222,7112.878787880316,234.6590909092146,96
img019_01000,0.2593575417995453,ort,24.333333333333332,7146.666666664818,249.43181818192932,98
img020_01000,0.2519517838954925,ort,27.044444444444444,7426.296296296944,236.05072463814514,98
img021_01000,0.1348345130681991,ort,29.6,7509.629629627684,218.7037037032831,98
img022_01000,0.1943509876728058,ort,25.6,7285.925925927167,235.55555555598661,98
img023_01000,0.1763222962617874,ort,20.866666666666667,6635.185185183343,246.11111111126795,98
img024_01000,0.2214172035455703,ort,27.266666666666666,7591.851851852191,244.07407407422758,98
img025_01000,0.1823004782199859,ort,28.822222222222223,8660.370370374158,238.33333333330745,98
img026_01000,0.2955903708934784,ort,28.72340425531915,7877.037037038051,238.51851851833828,98
img027_01000,0.2351588159799575,ort,20.933333333333334,6465.185185188706,259.4202898552783,98
img028_01000,0.2310001999139785,ort,26.133333333333333,7449.629629633542,247.40740740825035,98
img029_01000,0.1216447353363037,ort,24.08695652173913,7019.6296296276205,233.14814814776182,98
img030_01000,0.2089128494262695,ort,22.711111111111112,6652.592592594539,254.81481481478872,98
img031_01000,0.2219347655773162,ort,26.066666666666666,7514.074074070319,254.8148148145216,98
img032_01000,0.2143958508968353,ort,25.77777777777778,7075.185185186295,236.11111111134588,98
img033_00101,0.2167209982872009,person_text,41.58695652173913,8186.666666663177,173.5507246374517,98
img034_00100,0.2151461094617843,person,28.23913043478261,9050.740740739522,249.6453900711482,98
img035_00100,0.1962807923555374,person,25.47826086956522,8022.962962962494,251.29629629637736,98
img036_00100,0.2344962656497955,person,24.022222222222222,7486.66666666409,243.29710144922137,98
img037_00100,0.2652104496955871,person,27.844444444444445,8297.777777777634,236.6666666667779,98
img038_00100,0.3236899375915527,person,26.195652173913043,7210.740740741347,231.2962962960889,98
img039_00100,0.3330175280570984,person,26.977777777777778,7857.7777777801775,233.514492753871,98
img040_00100,0.2471616417169571,person,25.77777777777778,7020.370370368145,225.00000000006327,98
img041_00100,0.2841866612434387,person,25.652173913043477,7847.407407405315,235.92592592589014,98
img042_00100,0.1472547650337219,person,20.652173913043477,6605.555555557204,241.0984848483303,98
img043_00100,0.1696818172931671,person,24.70212765957447,7645.555555555602,226.85185185165997,98
img044_00100,0.2369286119937896,person,24.711111111111112,7626.296296295756,244.9612403100121,98
img045_00100,0.238148882985115,person,27.295454545454547,7951.515151512535,226.70454545449255,96
img046_00100,0.2746880948543548,person,22.91111111111111,7470.740740743622,262.4074074074846,98
img047_00100,0.2184903174638748,person,25.91111111111111,7792.962962965806,245.55555555601086,98
img048_00100,0.2962680757045746,person,28.177777777777777,7888.518518518873,221.19565217353215,98
img049_00100,0.3750697374343872,person,32.21739130434783,8147.407407404283,212.77777777740914,98
img050_00100,0.3725968599319458,person,35.46666666666667,8783.333333331424,211.23188405820807,98
img051_00100,0.3894416689872741,person,23.488888888888887,7368.148148144828,243.33333333336697,98
img052_00100,0.316058486700058,person,24.41304347826087,6988.518518517072,228.26086956472895,98
img053_00100,0.2955839037895202,person,25.155555555555555,7269.629629630224,240.76086956519083,98
img054_00100,0.1778062880039215,person,25.77777777777778,7968.518518519601,259.444444444372,98
img055_00100,0.3582651615142822,person,31.3125,8250.740740740508,214.2592592592196,98
img056_00100,0.2680457830429077,person,30.866666666666667,9431.481481480698,241.48148148199544,98
img057_00100,0.3047313392162323,person,25.42222222222222,7088.518518517486,217.75362318862133,98
img058_00100,0.1782490462064743,person,27.065217391304348,7491.111111112393,219.074074073738,98
img059_00100,0.3014975488185882,person,25.288888888888888,7658.888888887243,250.55555555575347,98
img060_00100,0.2428335696458816,person,22.88888888888889,7447.777777780887,251.89393939410695,98
img061_00100,0.2154687643051147,person,21.630434782608695,6277.777777777497,241.8518518519394,98
img062_00100,0.2767910361289978,person,29.2,7275.1851851837655,209.25925925881603,98
img063_00100,0.2825652360916137,person,25.869565217391305,6889.259259253084,207.96296296284223,98
img064_00100,0.1081516370177269,person,21.622222222222224,6801.851851851639,240.9574468081688,98
img065_00100,0.1823190599679947,person,22.88888888888889,7300.370370371123,245.21276595809576,98
img066_00100,0.201105535030365,person,28.533333333333335,7952.592592592139,229.5454545448566,98
img067_00100,0.1401009261608123,person,23.82608695652174,7355.555555556822,244.9999999998338,98
img068_00100,0.179495632648468,person,28.11111111111111,7964.4444444458695,234.751773049832,98
img069_00100,0.2205611765384674,person,25.466666666666665,7167.777777775111,224.05303030279572,98
img070_00100,0.1996487975120544,person,21.6,6996.296296293723,240.5555555555685,98
img071_00100,0.2155980467796325,person,23.67391304347826,7867.407407403127,244.25925925918338,98
img072_00100,0.2317430227994918,person,26.68888888888889,7812.499999997121,241.6666666663527,96
img073_00100,0.2297952324151992,person,26.6,8036.296296292658,254.44444444423877,98
img074_00101,0.2117216140031814,person_text,26.444444444444443,7434.074074075211,219.62962963018023,98
img075_00100,0.1572399139404297,person,21.804347826086957,7069.259259254203,235.74074074034579,98
img076_00101,0.2406598180532455,person_text,23.22222222222222,6481.851851847626,214.44444444422714,98
img077_00100,0.2258272767066955,person,22.06382978723404,7048.888888894521,247.7777777778942,98
img078_00100,0.2245383262634277,person,29.630434782608695,7811.851851852319,233.51851851821283,98
img079_00100,0.2585160136222839,person,26.755555555555556,8424.44444444231,245.92592592583452,98
img080_00100,0.2258343249559402,person,23.595744680851062,7440.370370369873,236.95652173940377,98
img081_00100,0.1940861493349075,person,24.8125,7698.148148148106,240.71969696991303,98
img082_00101,0.2898692190647125,person_text,28.91304347826087,7686.666666671155,231.34057971051357,98
