label,count,mean,median,std,min,max
meme,4,0.015110410669713227,0.010613300157008787,0.014140208351012883,0.0035021481562714815,0.03571289420856385
meme_person,6,0.005724591391459776,0.004903302787024394,0.0036951499454766267,0.0020710859061418823,0.011823600648139252
meme_person_politik,1,0.045601867214517755,0.045601867214517755,,0.045601867214517755,0.045601867214517755
meme_person_politik_text,7,0.017392737021080566,0.01130918894469713,0.009645624274899867,0.008991472081230916,0.03135255037681839
meme_person_text,2,0.02047975672301479,0.02047975672301479,0.003986438753745639,0.017660918847456398,0.02329859459857318
meme_politik_text,6,0.03202375783583138,0.03427697978040253,0.011485721774015419,0.015086158805110403,0.045539513895476856
meme_text,14,0.03415033280694881,0.025539555234731275,0.0302143086998249,0.003807720832790988,0.11081591582855299
ort,16,0.02810135034091556,0.01727324821871113,0.027162375899741756,0.005229041817038566,0.10653983111966632
ort_text,9,0.046431863773275094,0.02794481987842237,0.04175413782237942,0.00833234608406251,0.12239021106168786
person,49,0.020301200302130635,0.016422942275766288,0.0158992852014481,0.0017626294327086958,0.06350767833050773
person_politik,12,0.011267793628170458,0.008531253713976913,0.008725718017724319,0.00231514879864992,0.030918754782193875
person_politik_text,12,0.02286461679739546,0.022482021149432325,0.016753331693287958,0.0012619757328008964,0.05518563004043958
person_text,8,0.015944512792541842,0.013262559872573593,0.012223248691158302,0.001285862141338054,0.03674573107094769
politik_text,3,0.04327084634380571,0.02654208460493541,0.047741575328412826,0.0061449050243224885,0.09712554940215921
text,3,0.03820897800483363,0.04716010797781266,0.01742656557889344,0.018125942306194725,0.04934088373049351
