stem,rms_contrast
IMG001_10100,0.303157240152359
IMG002_10100,0.34987786412239075
IMG003_10000,0.1730196475982666
IMG004_10100,0.23322594165802002
IMG005_10100,0.22569900751113892
IMG006_10000,0.2025977224111557
IMG007_10000,0.16287508606910706
IMG008_10100,0.19569140672683716
IMG009_10100,0.29978859424591064
IMG010_10000,0.20748239755630493
IMG011_01001,0.3323492407798767
IMG012_01001,0.2241435945034027
IMG013_01001,0.30037781596183777
IMG014_01000,0.23079241812229156
IMG015_01001,0.2950083613395691
IMG016_01001,0.1805267184972763
IMG017_01001,0.1643425077199936
IMG018_01000,0.31282883882522583
IMG019_01000,0.2593575417995453
IMG020_01000,0.25195178389549255
IMG021_01000,0.13483451306819916
IMG022_01000,0.1943509876728058
IMG023_01000,0.17632229626178741
IMG024_01000,0.22141720354557037
IMG025_01000,0.18230047821998596
IMG026_01000,0.2955903708934784
IMG027_01000,0.23515881597995758
IMG028_01000,0.23100019991397858
IMG029_01000,0.12164473533630371
IMG030_01000,0.20891284942626953
IMG031_01000,0.22193476557731628
IMG032_01000,0.21439585089683533
IMG033_00101,0.21672099828720093
IMG034_00100,0.21514610946178436
IMG035_00100,0.19628079235553741
IMG036_00100,0.23449626564979553
IMG037_00100,0.26521044969558716
IMG038_00100,0.32368993759155273
IMG039_00100,0.3330175280570984
IMG040_00100,0.2471616417169571
IMG041_00100,0.2841866612434387
IMG042_00100,0.14725476503372192
IMG043_00100,0.16968181729316711
IMG044_00100,0.23692861199378967
IMG045_00100,0.23814888298511505
IMG046_00100,0.27468809485435486
IMG047_00100,0.21849031746387482
IMG048_00100,0.2962680757045746
IMG049_00100,0.3750697374343872
IMG050_00100,0.3725968599319458
IMG051_00100,0.38944166898727417
IMG052_00100,0.316058486700058
IMG053_00100,0.29558390378952026
IMG054_00100,0.1778062880039215
IMG055_00100,0.3582651615142822
IMG056_00100,0.2680457830429077
IMG057_00100,0.3047313392162323
IMG058_00100,0.1782490462064743
IMG059_00100,0.30149754881858826
IMG060_00100,0.24283356964588165
IMG061_00100,0.21546876430511475
IMG062_00100,0.2767910361289978
IMG063_00100,0.28256523609161377
IMG064_00100,0.1081516370177269
IMG065_00100,0.1823190599679947
IMG066_00100,0.201105535030365
IMG067_00100,0.14010092616081238
IMG068_00100,0.17949563264846802
IMG069_00100,0.2205611765384674
IMG070_00100,0.19964879751205444
IMG071_00100,0.21559804677963257
IMG072_00100,0.23174302279949188
IMG073_00100,0.22979523241519928
IMG074_00101,0.21172161400318146
IMG075_00100,0.1572399139404297
IMG076_00101,0.24065981805324554
IMG077_00100,0.22582727670669556
IMG078_00100,0.22453832626342773
IMG079_00100,0.25851601362228394
IMG080_00100,0.22583432495594025
IMG081_00100,0.19408614933490753
IMG082_00101,0.2898692190647125
IMG083_00100,0.18639880418777466
IMG084_00101,0.17186231911182404
IMG085_00100,0.21898293495178223
IMG086_00100,0.1802811473608017
IMG087_00101,0.3191004693508148
IMG088_00111,0.2613745331764221
IMG089_00110,0.23387491703033447
IMG090_00110,0.24389690160751343
IMG091_00110,0.15602287650108337
IMG092_00111,0.20052988827228546
IMG093_00110,0.22622649371623993
IMG094_00110,0.21485941112041473
IMG095_00110,0.2839066684246063
IMG096_00110,0.31933432817459106
IMG097_00110,0.15943129360675812
IMG098_00110,0.3104307949542999
IMG099_00111,0.2431633621454239
IMG100_00111,0.2835344970226288
IMG101_00110,0.2844822108745575
IMG102_00111,0.22699573636054993
IMG103_00110,0.32917407155036926
IMG104_00110,0.3061024248600006
IMG105_10110,0.2909914553165436
IMG106_10011,0.3058222830295563
IMG107_10111,0.33688464760780334
IMG108_10001,0.20528855919837952
IMG109_10011,0.2681230306625366
IMG110_10001,0.3128960430622101
IMG111_10001,0.20338571071624756
IMG112_10001,0.23959282040596008
IMG113_10101,0.3433230221271515
IMG114_10001,0.27553558349609375
IMG115_10001,0.21469342708587646
IMG116_10111,0.25090834498405457
IMG117_10111,0.3345523178577423
IMG118_10001,0.2317926585674286
IMG119_10001,0.3001367449760437
IMG120_10001,0.3436658978462219
IMG121_10101,0.29063183069229126
IMG122_10111,0.21383146941661835
IMG123_10111,0.23996740579605103
IMG124_10111,0.3462170958518982
IMG125_10001,0.2545354664325714
IMG126_00011,0.25941523909568787
IMG127_00011,0.30081045627593994
IMG128_01001,0.18879875540733337
IMG129_01001,0.2763063609600067
IMG130_01001,0.2507462203502655
IMG131_00111,0.1749984472990036
IMG132_00101,0.29162928462028503
IMG133_00101,0.28531724214553833
IMG134_00111,0.4291742444038391
IMG135_10111,0.4203474223613739
IMG136_00111,0.29982489347457886
IMG137_00111,0.2439328134059906
IMG138_00111,0.3363524377346039
IMG139_00111,0.2885114848613739
IMG140_00111,0.23462332785129547
IMG141_10011,0.3375422954559326
IMG142_00001,0.2018308937549591
IMG143_00001,0.226600781083107
IMG144_00001,0.4500553011894226
IMG145_00011,0.20459666848182678
IMG146_10001,0.19919152557849884
IMG147_10001,0.3905895948410034
IMG148_10001,0.21299968659877777
IMG149_10001,0.40229085087776184
IMG150_10011,0.29323557019233704
IMG151_10011,0.3994610905647278
IMG152_10011,0.2827899754047394
