stem,rms_contrast,mask,label
IMG003_10000,0.1730196475982666,10000,meme
IMG006_10000,0.2025977224111557,10000,meme
IMG007_10000,0.162875086069107,10000,meme
IMG010_10000,0.2074823975563049,10000,meme
IMG014_01000,0.2307924181222915,01000,ort
IMG018_01000,0.3128288388252258,01000,ort
IMG019_01000,0.2593575417995453,01000,ort
IMG020_01000,0.2519517838954925,01000,ort
IMG021_01000,0.1348345130681991,01000,ort
IMG022_01000,0.1943509876728058,01000,ort
IMG023_01000,0.1763222962617874,01000,ort
IMG024_01000,0.2214172035455703,01000,ort
IMG025_01000,0.1823004782199859,01000,ort
IMG026_01000,0.2955903708934784,01000,ort
IMG027_01000,0.2351588159799575,01000,ort
IMG028_01000,0.2310001999139785,01000,ort
IMG029_01000,0.1216447353363037,01000,ort
IMG030_01000,0.2089128494262695,01000,ort
IMG031_01000,0.2219347655773162,01000,ort
IMG032_01000,0.2143958508968353,01000,ort
IMG034_00100,0.2151461094617843,00100,person
IMG035_00100,0.1962807923555374,00100,person
IMG036_00100,0.2344962656497955,00100,person
IMG037_00100,0.2652104496955871,00100,person
IMG038_00100,0.3236899375915527,00100,person
IMG039_00100,0.3330175280570984,00100,person
IMG040_00100,0.2471616417169571,00100,person
IMG041_00100,0.2841866612434387,00100,person
IMG042_00100,0.1472547650337219,00100,person
IMG043_00100,0.1696818172931671,00100,person
IMG044_00100,0.2369286119937896,00100,person
IMG045_00100,0.238148882985115,00100,person
IMG046_00100,0.2746880948543548,00100,person
IMG047_00100,0.2184903174638748,00100,person
IMG048_00100,0.2962680757045746,00100,person
IMG049_00100,0.3750697374343872,00100,person
IMG050_00100,0.3725968599319458,00100,person
IMG051_00100,0.3894416689872741,00100,person
IMG052_00100,0.316058486700058,00100,person
IMG053_00100,0.2955839037895202,00100,person
IMG054_00100,0.1778062880039215,00100,person
IMG055_00100,0.3582651615142822,00100,person
IMG056_00100,0.2680457830429077,00100,person
IMG057_00100,0.3047313392162323,00100,person
IMG058_00100,0.1782490462064743,00100,person
IMG059_00100,0.3014975488185882,00100,person
IMG060_00100,0.2428335696458816,00100,person
IMG061_00100,0.2154687643051147,00100,person
IMG062_00100,0.2767910361289978,00100,person
IMG063_00100,0.2825652360916137,00100,person
IMG064_00100,0.1081516370177269,00100,person
IMG065_00100,0.1823190599679947,00100,person
IMG066_00100,0.201105535030365,00100,person
IMG067_00100,0.1401009261608123,00100,person
IMG068_00100,0.179495632648468,00100,person
IMG069_00100,0.2205611765384674,00100,person
IMG070_00100,0.1996487975120544,00100,person
IMG071_00100,0.2155980467796325,00100,person
IMG072_00100,0.2317430227994918,00100,person
IMG073_00100,0.2297952324151992,00100,person
IMG075_00100,0.1572399139404297,00100,person
IMG077_00100,0.2258272767066955,00100,person
IMG078_00100,0.2245383262634277,00100,person
IMG079_00100,0.2585160136222839,00100,person
IMG080_00100,0.2258343249559402,00100,person
IMG081_00100,0.1940861493349075,00100,person
IMG083_00100,0.1863988041877746,00100,person
IMG085_00100,0.2189829349517822,00100,person
IMG086_00100,0.1802811473608017,00100,person
IMG142_00001,0.2018308937549591,00001,text
IMG143_00001,0.226600781083107,00001,text
IMG144_00001,0.4500553011894226,00001,text
