trial_id,participant_id,image_id,timestamp_ms,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_validity,left_pupil_diameter,right_pupil_diameter
P01_IMG001_10000,P01,IMG001,0.0,"(0.5337905287742615, 0.42281150817871094)","(0.537862241268158, 0.4614449739456177)",1,1,3.2030792236328125,3.1840667724609375
P01_IMG001_10000,P01,IMG001,16.499,"(0.532796323299408, 0.42319539189338684)","(0.5378697514533997, 0.4607979953289032)",1,1,3.191009521484375,3.1735382080078125
P01_IMG001_10000,P01,IMG001,33.157,"(0.5346997380256653, 0.4341677129268646)","(0.5348169803619385, 0.46137380599975586)",1,1,3.1943511962890625,3.146087646484375
P01_IMG001_10000,P01,IMG001,49.917,"(0.536255955696106, 0.4373799264431)","(0.534174382686615, 0.4593956470489502)",1,1,3.2102508544921875,3.1206512451171875
P01_IMG001_10000,P01,IMG001,66.423,"(0.5363522171974182, 0.4308304190635681)","(0.5325216054916382, 0.4626626968383789)",1,1,3.210235595703125,3.1306915283203125
P01_IMG001_10000,P01,IMG001,83.027,"(0.531764030456543, 0.4327726364135742)","(0.5351812243461609, 0.4610248804092407)",1,1,3.1862640380859375,3.1367034912109375
P01_IMG001_10000,P01,IMG001,99.832,"(0.5336142778396606, 0.42986664175987244)","(0.5319833159446716, 0.4637492299079895)",1,1,3.180633544921875,3.1519775390625
P01_IMG001_10000,P01,IMG001,116.343,"(0.533009946346283, 0.4356611371040344)","(0.5325092077255249, 0.46595874428749084)",1,1,3.1966400146484375,3.1444854736328125
P01_IMG001_10000,P01,IMG001,132.993,"(0.5346490144729614, 0.4273151755332947)","(0.5345271229743958, 0.46006324887275696)",1,1,3.17706298828125,3.130859375
P01_IMG001_10000,P01,IMG001,149.748,"(0.5328033566474915, 0.4273466169834137)","(0.5318267941474915, 0.4685003161430359)",1,1,3.1746826171875,3.138214111328125
P01_IMG001_10000,P01,IMG001,166.264,"(0.5330031514167786, 0.43257397413253784)","(0.5313159227371216, 0.46761012077331543)",1,1,3.2008056640625,3.15423583984375
P01_IMG001_10000,P01,IMG001,182.96,"(0.5303113460540771, 0.432523250579834)","(0.5324740409851074, 0.4597043991088867)",1,1,3.2111358642578125,3.15838623046875
P01_IMG001_10000,P01,IMG001,199.664,"(0.5064662098884583, 0.41255226731300354)","(0.5053494572639465, 0.4485050141811371)",1,1,3.2081451416015625,3.1741943359375
P01_IMG001_10000,P01,IMG001,216.189,"(0.4125855565071106, 0.3371369540691376)","(0.41693639755249023, 0.3667510449886322)",1,1,3.197021484375,3.2140655517578125
P01_IMG001_10000,P01,IMG001,232.829,"(0.3729914128780365, 0.2980237603187561)","(0.37598907947540283, 0.3128620982170105)",1,1,3.199554443359375,3.23687744140625
P01_IMG001_10000,P01,IMG001,249.58,"(0.3648993670940399, 0.2765021324157715)","(0.36760222911834717, 0.2966718375682831)",1,1,3.2155914306640625,3.2534332275390625
P01_IMG001_10000,P01,IMG001,266.101,"(0.3672659695148468, 0.27310919761657715)","(0.36738213896751404, 0.2887845039367676)",1,1,3.2149200439453125,3.26092529296875
P01_IMG001_10000,P01,IMG001,282.796,"(0.3675667941570282, 0.27625221014022827)","(0.369502454996109, 0.290446400642395)",1,1,3.2310791015625,3.2656707763671875
P01_IMG001_10000,P01,IMG001,299.496,"(0.36953672766685486, 0.2744038701057434)","(0.36954399943351746, 0.2949661314487457)",1,1,3.238555908203125,3.2825775146484375
P01_IMG001_10000,P01,IMG001,316.021,"(0.368610680103302, 0.2795206606388092)","(0.3706912398338318, 0.29611966013908386)",1,1,3.2396240234375,3.2939300537109375
P01_IMG001_10000,P01,IMG001,332.665,"(0.3688427805900574, 0.2781693935394287)","(0.36903640627861023, 0.29149767756462097)",1,1,3.2268218994140625,3.2855987548828125
P01_IMG001_10000,P01,IMG001,349.411,"(0.3702762722969055, 0.28187158703804016)","(0.37021559476852417, 0.28926628828048706)",1,1,3.2500457763671875,3.2899169921875
P01_IMG001_10000,P01,IMG001,365.942,"(0.37273892760276794, 0.2820937931537628)","(0.3679298162460327, 0.2867140471935272)",1,1,3.25592041015625,3.3034515380859375
P01_IMG001_10000,P01,IMG001,382.632,"(0.37366175651550293, 0.27495715022087097)","(0.3699023723602295, 0.2915087640285492)",1,1,3.2501983642578125,3.3157958984375
P01_IMG001_10000,P01,IMG001,399.328,"(0.35268235206604004, 0.2861758768558502)","(0.3527204990386963, 0.30356162786483765)",1,1,3.2680206298828125,3.3298492431640625
P01_IMG001_10000,P01,IMG001,415.862,"(0.31741198897361755, 0.3059978485107422)","(0.3184221684932709, 0.32256078720092773)",1,1,3.274810791015625,3.34869384765625
P01_IMG001_10000,P01,IMG001,432.502,"(0.31605398654937744, 0.30841273069381714)","(0.3171723186969757, 0.31972572207450867)",1,1,3.274932861328125,3.3466033935546875
P01_IMG001_10000,P01,IMG001,449.243,"(0.3136610686779022, 0.316061407327652)","(0.31676286458969116, 0.32063478231430054)",1,1,3.279754638671875,3.340972900390625
P01_IMG001_10000,P01,IMG001,465.777,"(0.3148244619369507, 0.3132299780845642)","(0.3167792856693268, 0.3214162588119507)",1,1,3.2773284912109375,3.3510589599609375
P01_IMG001_10000,P01,IMG001,482.469,"(0.3140419125556946, 0.3110717236995697)","(0.31433263421058655, 0.3200972080230713)",1,1,3.29302978515625,3.3606414794921875
P01_IMG001_10000,P01,IMG001,499.159,"(0.31358176469802856, 0.3103736937046051)","(0.3120802938938141, 0.3211945593357086)",1,1,3.3051605224609375,3.3631591796875
P01_IMG001_10000,P01,IMG001,515.698,"(0.31126347184181213, 0.3116573691368103)","(0.313799649477005, 0.3208810091018677)",1,1,3.3203887939453125,3.37689208984375
P01_IMG001_10000,P01,IMG001,532.435,"(0.31382128596305847, 0.3147130608558655)","(0.3168494701385498, 0.3179474174976349)",1,1,3.3329010009765625,3.3909149169921875
P01_IMG001_10000,P01,IMG001,549.075,"(0.31206458806991577, 0.31003624200820923)","(0.31384363770484924, 0.31969112157821655)",1,1,3.338531494140625,3.3843994140625
P01_IMG001_10000,P01,IMG001,565.619,"(0.31285738945007324, 0.3087725043296814)","(0.3166569471359253, 0.3227866590023041)",1,1,3.3627777099609375,3.39239501953125
P01_IMG001_10000,P01,IMG001,582.305,"(0.3137258291244507, 0.30818071961402893)","(0.31409743428230286, 0.31832173466682434)",1,1,3.3534088134765625,3.4054107666015625
P01_IMG001_10000,P01,IMG001,598.991,"(0.3129867911338806, 0.30982714891433716)","(0.31291839480400085, 0.32542020082473755)",1,1,3.375701904296875,3.4277191162109375
P01_IMG001_10000,P01,IMG001,615.539,"(0.31479597091674805, 0.3083670139312744)","(0.31301528215408325, 0.325252890586853)",1,1,3.3890228271484375,3.4403076171875
P01_IMG001_10000,P01,IMG001,632.175,"(0.3142150044441223, 0.3098267912864685)","(0.3128361701965332, 0.3278467357158661)",1,1,3.4036865234375,3.44732666015625
P01_IMG001_10000,P01,IMG001,648.907,"(0.31352436542510986, 0.30842143297195435)","(0.312700480222702, 0.33207911252975464)",1,1,3.4181671142578125,3.4495391845703125
P01_IMG001_10000,P01,IMG001,665.459,"(0.3141843378543854, 0.31464335322380066)","(0.3135615289211273, 0.3310403823852539)",1,1,3.434173583984375,3.4702911376953125
P01_IMG001_10000,P01,IMG001,682.141,"(0.31486424803733826, 0.31144753098487854)","(0.3133207857608795, 0.3274209797382355)",1,1,3.437530517578125,3.49462890625
P01_IMG001_10000,P01,IMG001,698.823,"(0.3135734498500824, 0.3099096417427063)","(0.3137942850589752, 0.3259037137031555)",1,1,3.4563751220703125,3.5225830078125
P01_IMG001_10000,P01,IMG001,715.38,"(0.32272472977638245, 0.319001704454422)","(0.3267715871334076, 0.3281896710395813)",1,1,3.460540771484375,3.538970947265625
P01_IMG001_10000,P01,IMG001,732.108,"(0.37853169441223145, 0.3856765925884247)","(0.3807666003704071, 0.3975394666194916)",1,1,3.5034942626953125,3.5677490234375
P01_IMG001_10000,P01,IMG001,748.738,"(0.5125401020050049, 0.5632922649383545)","(0.5377615094184875, 0.5901796817779541)",1,1,3.5612335205078125,3.536773681640625
P01_IMG001_10000,P01,IMG001,765.301,"(0.6034194231033325, 0.658620297908783)","(0.6060817241668701, 0.681982159614563)",1,1,3.5674285888671875,3.5183563232421875
P01_IMG001_10000,P01,IMG001,781.978,"(0.6090052723884583, 0.6709325909614563)","(0.612137496471405, 0.6954428553581238)",1,1,3.602264404296875,3.5397491455078125
P01_IMG001_10000,P01,IMG001,798.655,"(0.6119986772537231, 0.6776952743530273)","(0.6108824610710144, 0.7017277479171753)",1,1,3.59698486328125,3.5384979248046875
P01_IMG001_10000,P01,IMG001,815.23,"(0.6122967004776001, 0.669234573841095)","(0.6098384857177734, 0.6979889869689941)",1,1,3.5818634033203125,3.5326690673828125
P01_IMG001_10000,P01,IMG001,831.847,"(0.6098059415817261, 0.6732391715049744)","(0.613892674446106, 0.7019505500793457)",1,1,3.5621185302734375,3.5430145263671875
P01_IMG001_10000,P01,IMG001,848.667,"(0.6093528866767883, 0.6705633401870728)","(0.6118913292884827, 0.7013506293296814)",1,1,3.579193115234375,3.5472869873046875
P01_IMG001_10000,P01,IMG001,865.15,"(0.6090537905693054, 0.6762176752090454)","(0.6109787821769714, 0.699055552482605)",1,1,3.597198486328125,3.5547332763671875
P01_IMG001_10000,P01,IMG001,881.813,"(0.6050111055374146, 0.666397750377655)","(0.6123777627944946, 0.6901964545249939)",1,1,3.5861663818359375,3.5474853515625
P01_IMG001_10000,P01,IMG001,898.582,"(0.6070922613143921, 0.6710395216941833)","(0.6087130308151245, 0.699436366558075)",1,1,3.5950164794921875,3.5624542236328125
P01_IMG001_10000,P01,IMG001,915.07,"(0.6072916388511658, 0.6677459478378296)","(0.6066551208496094, 0.6981164216995239)",1,1,3.5919647216796875,3.5726470947265625
P01_IMG001_10000,P01,IMG001,931.683,"(0.6064453125, 0.669126033782959)","(0.6049535870552063, 0.7013196349143982)",1,1,3.5990753173828125,3.5859527587890625
P01_IMG001_10000,P01,IMG001,948.499,"(0.6082978844642639, 0.6697785258293152)","(0.6062873005867004, 0.696255624294281)",1,1,3.6118011474609375,3.5919036865234375
P01_IMG001_10000,P01,IMG001,964.991,"(0.6070038080215454, 0.6693544387817383)","(0.6079400181770325, 0.6935617923736572)",1,1,3.60565185546875,3.5969085693359375
P01_IMG001_10000,P01,IMG001,981.65,"(0.6052181720733643, 0.66911381483078)","(0.6107046604156494, 0.6913615465164185)",1,1,3.6060028076171875,3.598968505859375
P01_IMG001_10000,P01,IMG001,998.415,"(0.604394257068634, 0.6691884398460388)","(0.6084832549095154, 0.6931009888648987)",1,1,3.6178131103515625,3.607513427734375
P01_IMG001_10000,P01,IMG001,1014.908,"(0.604464590549469, 0.6711673736572266)","(0.6073066592216492, 0.696505069732666)",1,1,3.63262939453125,3.620635986328125
P01_IMG001_10000,P01,IMG001,1031.617,"(0.6082612872123718, 0.6669720411300659)","(0.6001535654067993, 0.6985190510749817)",1,1,3.6338043212890625,3.6474609375
P01_IMG001_10000,P01,IMG001,1048.33,"(0.6053866147994995, 0.6690067648887634)","(0.6008788347244263, 0.70133376121521)",1,1,3.6245269775390625,3.653778076171875
P01_IMG001_10000,P01,IMG001,1064.828,"(0.5994061231613159, 0.6647471785545349)","(0.6051831841468811, 0.6967250108718872)",1,1,3.6142578125,3.6367950439453125
P01_IMG001_10000,P01,IMG001,1081.486,"(0.6013839244842529, 0.6646712422370911)","(0.6062982082366943, 0.6932567954063416)",1,1,3.61431884765625,3.636322021484375
P01_IMG001_10000,P01,IMG001,1098.246,"(0.6001076698303223, 0.6673657894134521)","(0.6049662828445435, 0.6988816857337952)",1,1,3.6283721923828125,3.631439208984375
P01_IMG001_10000,P01,IMG001,1114.748,"(0.6395192742347717, 0.725313127040863)","(0.636881411075592, 0.7685881853103638)",1,1,3.6537933349609375,3.6584014892578125
P01_IMG001_10000,P01,IMG001,1131.356,"(0.681874692440033, 0.7877190113067627)","(0.681384801864624, 0.8178390264511108)",1,1,3.6324462890625,3.6436309814453125
P01_IMG001_10000,P01,IMG001,1148.162,"(0.7102454304695129, 0.8152769207954407)","(0.713803231716156, 0.8496531248092651)",1,1,3.61181640625,3.6128692626953125
P01_IMG001_10000,P01,IMG001,1164.673,"(0.7104437351226807, 0.8152428269386292)","(0.7160354256629944, 0.8525773286819458)",1,1,3.6034698486328125,3.6030731201171875
P01_IMG001_10000,P01,IMG001,1181.226,"(0.7059637308120728, 0.8161911368370056)","(0.7174480557441711, 0.8559831976890564)",1,1,3.609619140625,3.6049652099609375
P01_IMG001_10000,P01,IMG001,1198.078,"(0.7095239162445068, 0.8214385509490967)","(0.7112337946891785, 0.8680061101913452)",1,1,3.6128692626953125,3.6236572265625
P01_IMG001_10000,P01,IMG001,1214.593,"(0.7122606635093689, 0.8226498961448669)","(0.7098085880279541, 0.8662501573562622)",1,1,3.591949462890625,3.622650146484375
P01_IMG001_10000,P01,IMG001,1231.192,"(0.7121517658233643, 0.826129138469696)","(0.7090194225311279, 0.862839937210083)",1,1,3.5924224853515625,3.624725341796875
P01_IMG001_10000,P01,IMG001,1247.994,"(0.7091858983039856, 0.8197026252746582)","(0.7120697498321533, 0.8645341396331787)",1,1,3.56591796875,3.618804931640625
P01_IMG001_10000,P01,IMG001,1264.514,"(0.7093350887298584, 0.8246484994888306)","(0.7093403339385986, 0.8662940263748169)",1,1,3.5667877197265625,3.621856689453125
P01_IMG001_10000,P01,IMG001,1281.062,"(0.7122250199317932, 0.8261192440986633)","(0.7105075716972351, 0.8717138171195984)",1,1,3.560333251953125,3.6266937255859375
P01_IMG001_10000,P01,IMG001,1298.006,"(0.7165096998214722, 0.8310087323188782)","(0.7114611268043518, 0.8678699731826782)",1,1,3.575408935546875,3.6270599365234375
P01_IMG001_10000,P01,IMG001,1314.434,"(0.717915952205658, 0.8328086137771606)","(0.7104242444038391, 0.8651309609413147)",1,1,3.5757904052734375,3.63055419921875
P01_IMG001_10000,P01,IMG001,1331.029,"(0.7136841416358948, 0.8323858380317688)","(0.7081938982009888, 0.8656091094017029)",1,1,3.5650787353515625,3.643951416015625
P01_IMG001_10000,P01,IMG001,1347.826,"(0.7119808197021484, 0.8268864750862122)","(0.7137671113014221, 0.866624653339386)",1,1,3.5581207275390625,3.6440887451171875
P01_IMG001_10000,P01,IMG001,1364.355,"(0.7150692343711853, 0.8312162756919861)","(0.713741660118103, 0.8672469258308411)",1,1,3.5452117919921875,3.637298583984375
P01_IMG001_10000,P01,IMG001,1380.899,"(0.7170732021331787, 0.8403565287590027)","(0.7128234505653381, 0.8676871061325073)",1,1,3.54901123046875,3.6492156982421875
P01_IMG001_10000,P01,IMG001,1397.741,"(0.715639054775238, 0.8415310382843018)","(0.7136393785476685, 0.8652300238609314)",1,1,3.536895751953125,3.6369781494140625
P01_IMG001_10000,P01,IMG001,1414.275,"(0.7140614986419678, 0.836836576461792)","(0.7136446833610535, 0.8666874170303345)",1,1,3.547607421875,3.6334228515625
P01_IMG001_10000,P01,IMG001,1430.865,"(0.7116695046424866, 0.8294704556465149)","(0.7109231352806091, 0.8686915040016174)",1,1,3.5272064208984375,3.6487884521484375
P01_IMG001_10000,P01,IMG001,1447.753,"(0.70872563123703, 0.82575923204422)","(0.7080881595611572, 0.8704412579536438)",1,1,3.5176544189453125,3.663970947265625
P01_IMG001_10000,P01,IMG001,1464.195,"(0.7078514695167542, 0.8312836289405823)","(0.7104530334472656, 0.8669283390045166)",1,1,3.5189208984375,3.64910888671875
P01_IMG001_10000,P01,IMG001,1480.832,"(0.7133321166038513, 0.8244643211364746)","(0.7095791697502136, 0.8698065876960754)",1,1,3.5040435791015625,3.6388397216796875
P01_IMG001_10000,P01,IMG001,1497.573,"(0.7116623520851135, 0.8330541849136353)","(0.7129077315330505, 0.8738242983818054)",1,1,3.502777099609375,3.6208953857421875
P01_IMG001_10000,P01,IMG001,1514.116,"(0.7139655947685242, 0.8348220586776733)","(0.7124258875846863, 0.8774020075798035)",1,1,3.4966278076171875,3.630706787109375
P01_IMG001_10000,P01,IMG001,1530.702,"(0.712344765663147, 0.8342450857162476)","(0.7084834575653076, 0.8760166764259338)",1,1,3.46917724609375,3.6426544189453125
P01_IMG001_10000,P01,IMG001,1547.586,"(0.7118095755577087, 0.8344472646713257)","(0.7100003957748413, 0.8802009224891663)",1,1,3.46173095703125,3.6282958984375
P01_IMG001_10000,P01,IMG001,1564.037,"(0.7117941379547119, 0.8186697959899902)","(0.7144598960876465, 0.8570332527160645)",1,1,3.4468231201171875,3.6224365234375
P01_IMG001_10000,P01,IMG001,1580.668,"(0.7099470496177673, 0.8092578053474426)","(0.7138849496841431, 0.8412915468215942)",1,1,3.4537200927734375,3.6355438232421875
P01_IMG001_10000,P01,IMG001,1597.405,"(0.708005428314209, 0.8090486526489258)","(0.7160179018974304, 0.8403120636940002)",1,1,3.4482574462890625,3.6071014404296875
P01_IMG001_10000,P01,IMG001,1613.957,"(0.7088274955749512, 0.8081063628196716)","(0.715632438659668, 0.8358244299888611)",1,1,3.4385986328125,3.6003570556640625
P01_IMG001_10000,P01,IMG001,1630.538,"(0.7100452780723572, 0.8078291416168213)","(0.7166798710823059, 0.8371624946594238)",1,1,3.441497802734375,3.607879638671875
P01_IMG001_10000,P01,IMG001,1647.417,"(0.7099794149398804, 0.8015583753585815)","(0.7132765650749207, 0.8423922657966614)",1,1,3.4354705810546875,3.6190643310546875
P01_IMG001_10000,P01,IMG001,1663.877,"(0.7132710218429565, 0.800784170627594)","(0.718447208404541, 0.8378671407699585)",1,1,3.431488037109375,3.595184326171875
P01_IMG001_10000,P01,IMG001,1680.407,"(0.7159424424171448, 0.808043360710144)","(0.7182028889656067, 0.8371323943138123)",1,1,3.4250030517578125,3.61517333984375
P01_IMG001_10000,P01,IMG001,1697.236,"(0.7137905359268188, 0.8056781888008118)","(0.7160601019859314, 0.8379256129264832)",1,1,3.4199981689453125,3.60711669921875
P01_IMG001_10000,P01,IMG001,1713.798,"(0.717527449131012, 0.805279016494751)","(0.7130815386772156, 0.8394314050674438)",1,1,3.4101409912109375,3.606903076171875
P01_IMG001_10000,P01,IMG001,1730.374,"(0.7142375111579895, 0.8022378087043762)","(0.7147647142410278, 0.841956377029419)",1,1,3.41900634765625,3.583709716796875
P01_IMG001_10000,P01,IMG001,1747.25,"(0.7118664383888245, 0.8101062178611755)","(0.7161951661109924, 0.8373293876647949)",1,1,3.41046142578125,3.5897979736328125
P01_IMG001_10000,P01,IMG001,1763.719,"(0.7123866677284241, 0.8101916313171387)","(0.7167749404907227, 0.8357688188552856)",1,1,3.4177093505859375,3.59716796875
P01_IMG001_10000,P01,IMG001,1780.341,"(0.7123374938964844, 0.809632420539856)","(0.7149037718772888, 0.838141143321991)",1,1,3.4144134521484375,3.6057281494140625
P01_IMG001_10000,P01,IMG001,1797.165,"(0.7145606279373169, 0.8097504377365112)","(0.713304877281189, 0.8394182920455933)",1,1,3.4117584228515625,3.6002655029296875
P01_IMG001_10000,P01,IMG001,1813.639,"(0.7121611833572388, 0.8071559071540833)","(0.7111127972602844, 0.8415972590446472)",1,1,3.422271728515625,3.6071319580078125
P01_IMG001_10000,P01,IMG001,1830.21,"(0.7133747935295105, 0.8072410821914673)","(0.712274968624115, 0.8364772796630859)",1,1,3.408050537109375,3.5798492431640625
P01_IMG001_10000,P01,IMG001,1847.08,"(0.7090628743171692, 0.8057558536529541)","(0.7124155163764954, 0.8388417959213257)",1,1,3.401947021484375,3.58673095703125
P01_IMG001_10000,P01,IMG001,1863.559,"(0.7142823338508606, 0.8060081005096436)","(0.7137436270713806, 0.8400063514709473)",1,1,3.3880615234375,3.595367431640625
P01_IMG001_10000,P01,IMG001,1880.176,"(0.7091381549835205, 0.8070447444915771)","(0.7103155255317688, 0.8421935439109802)",1,1,3.40228271484375,3.6049957275390625
P01_IMG001_10000,P01,IMG001,1896.996,"(0.709602952003479, 0.81297367811203)","(0.713599443435669, 0.8454593420028687)",1,1,3.4240264892578125,3.588653564453125
P01_IMG001_10000,P01,IMG001,1913.48,"(0.7134637236595154, 0.8129192590713501)","(0.7149229049682617, 0.8481094837188721)",1,1,3.419189453125,3.5962066650390625
P01_IMG001_10000,P01,IMG001,1930.047,"(0.7121962308883667, 0.8067125082015991)","(0.7153202295303345, 0.8418627977371216)",1,1,3.4120025634765625,3.591522216796875
P01_IMG001_10000,P01,IMG001,1946.912,"(0.7166403532028198, 0.8125311136245728)","(0.7117049694061279, 0.8412168622016907)",1,1,3.4124298095703125,3.5908355712890625
P01_IMG001_10000,P01,IMG001,1963.4,"(0.7120193839073181, 0.8096790313720703)","(0.7178142666816711, 0.8337242007255554)",1,1,3.4217071533203125,3.5966339111328125
P01_IMG001_10000,P01,IMG001,1980.014,"(0.7139560580253601, 0.8111470937728882)","(0.7158505320549011, 0.8343083262443542)",1,1,3.4418487548828125,3.5969085693359375
P01_IMG001_10000,P01,IMG001,1996.732,"(0.7128309011459351, 0.8135116696357727)","(0.7114481925964355, 0.8426988124847412)",1,1,3.439453125,3.601165771484375
P01_IMG001_10000,P01,IMG001,2013.321,"(0.7144551873207092, 0.8132584691047668)","(0.708007276058197, 0.8501283526420593)",1,1,3.45318603515625,3.5984954833984375
P01_IMG001_10000,P01,IMG001,2029.884,"(0.7179604768753052, 0.80654376745224)","(0.7088838815689087, 0.8494288921356201)",1,1,3.4246368408203125,3.603546142578125
P01_IMG001_10000,P01,IMG001,2046.744,"(0.7188020944595337, 0.8189677000045776)","(0.7082871794700623, 0.8464251756668091)",1,1,3.44482421875,3.6145782470703125
P01_IMG001_10000,P01,IMG001,2063.241,"(0.7108410596847534, 0.8222987055778503)","(0.7056863307952881, 0.8433375358581543)",1,1,3.4654388427734375,3.6105499267578125
P01_IMG001_10000,P01,IMG001,2079.849,"(0.715756893157959, 0.8221253156661987)","(0.7081705927848816, 0.8394473195075989)",1,1,3.4474639892578125,3.609344482421875
P01_IMG001_10000,P01,IMG001,2096.66,"(0.7111606001853943, 0.8095625638961792)","(0.7083529233932495, 0.8395143151283264)",1,1,3.461273193359375,3.6208953857421875
P01_IMG001_10000,P01,IMG001,2113.162,"(0.7086817622184753, 0.8169345259666443)","(0.706541121006012, 0.8436219692230225)",1,1,3.474884033203125,3.6336212158203125
P01_IMG001_10000,P01,IMG001,2129.72,"(0.7092509269714355, 0.8184138536453247)","(0.7063875198364258, 0.8465328216552734)",1,1,3.4723052978515625,3.6141357421875
P01_IMG001_10000,P01,IMG001,2146.576,"(0.7041468024253845, 0.8228277564048767)","(0.7060098648071289, 0.8411096334457397)",1,1,3.4815216064453125,3.64422607421875
P01_IMG001_10000,P01,IMG001,2163.082,"(0.7050455212593079, 0.8176548480987549)","(0.7025477886199951, 0.8436155915260315)",1,1,3.4756011962890625,3.64801025390625
P01_IMG001_10000,P01,IMG001,2179.686,"(0.7009680271148682, 0.8143794536590576)","(0.7054259777069092, 0.8448096513748169)",1,1,3.484893798828125,3.6363525390625
P01_IMG001_10000,P01,IMG001,2196.491,"(0.7057213187217712, 0.8045336008071899)","(0.71253901720047, 0.8421310782432556)",1,1,3.473785400390625,3.625244140625
P01_IMG001_10000,P01,IMG001,2213.007,"(0.7081523537635803, 0.8062334656715393)","(0.7069499492645264, 0.8451378345489502)",1,1,3.4713592529296875,3.6452484130859375
P01_IMG001_10000,P01,IMG001,2229.556,"(0.7107593417167664, 0.8155900239944458)","(0.7041563391685486, 0.8496586680412292)",1,1,3.4920196533203125,3.66796875
P01_IMG001_10000,P01,IMG001,2246.408,"(0.7050775289535522, 0.8078810572624207)","(0.7066742777824402, 0.8488050103187561)",1,1,3.5142974853515625,3.6756744384765625
P01_IMG001_10000,P01,IMG001,2262.928,"(0.6774401664733887, 0.7853899002075195)","(0.6784908175468445, 0.8203208446502686)",1,1,3.548431396484375,3.7099609375
P01_IMG001_10000,P01,IMG001,2279.522,"(0.6051353216171265, 0.7031609416007996)","(0.6237698793411255, 0.7500564455986023)",1,1,3.5728759765625,3.785888671875
P01_IMG001_10000,P01,IMG001,2296.227,"(0.458244264125824, 0.5052454471588135)","(0.47349709272384644, 0.5061374306678772)",1,1,3.5685272216796875,3.822479248046875
P01_IMG001_10000,P01,IMG001,2312.854,"(0.35280436277389526, 0.3693276047706604)","(0.36360421776771545, 0.3980431854724884)",1,1,3.5565338134765625,3.802978515625
P01_IMG001_10000,P01,IMG001,2329.392,"(0.3315899968147278, 0.35698655247688293)","(0.3323057293891907, 0.3794396221637726)",1,1,3.5615997314453125,3.8454742431640625
P01_IMG001_10000,P01,IMG001,2346.143,"(0.33591580390930176, 0.3632812201976776)","(0.34186604619026184, 0.3749488294124603)",1,1,3.5851287841796875,3.8793182373046875
P01_IMG001_10000,P01,IMG001,2362.769,"(0.3429720103740692, 0.36750033497810364)","(0.3412003219127655, 0.3749447464942932)",1,1,3.580535888671875,3.8809814453125
P01_IMG001_10000,P01,IMG001,2379.358,"(0.34125569462776184, 0.3707633316516876)","(0.3401426672935486, 0.3733881711959839)",1,1,3.59576416015625,3.87530517578125
P01_IMG001_10000,P01,IMG001,2396.058,"(0.3370138704776764, 0.3640477955341339)","(0.34547069668769836, 0.3685131072998047)",1,1,3.6013336181640625,3.8709716796875
P01_IMG001_10000,P01,IMG001,2412.694,"(0.34220102429389954, 0.36173877120018005)","(0.3463044762611389, 0.3705936670303345)",1,1,3.6200408935546875,3.8811798095703125
P01_IMG001_10000,P01,IMG001,2429.228,"(0.341180682182312, 0.3637227714061737)","(0.3407400846481323, 0.3708306550979614)",1,1,3.627532958984375,3.9062347412109375
P01_IMG001_10000,P01,IMG001,2445.974,"(0.34211209416389465, 0.36058366298675537)","(0.33817288279533386, 0.3678497076034546)",1,1,3.6466217041015625,3.933197021484375
P01_IMG001_10000,P01,IMG001,2462.615,"(0.3410896062850952, 0.35974282026290894)","(0.33987465500831604, 0.3668041527271271)",1,1,3.65887451171875,3.9232177734375
P01_IMG001_10000,P01,IMG001,2479.195,"(0.33921152353286743, 0.36404797434806824)","(0.3448294401168823, 0.36312419176101685)",1,1,3.681671142578125,3.9285736083984375
P01_IMG001_10000,P01,IMG001,2495.882,"(0.3394105136394501, 0.3623583912849426)","(0.34390464425086975, 0.36195486783981323)",1,1,3.694732666015625,3.9311065673828125
P01_IMG001_10000,P01,IMG001,2512.531,"(0.3421522378921509, 0.36332544684410095)","(0.3406525254249573, 0.3566388487815857)",1,1,3.6846923828125,3.93939208984375
P01_IMG001_10000,P01,IMG001,2529.065,"(0.3389201760292053, 0.3434876799583435)","(0.3296669125556946, 0.3438989818096161)",1,1,3.6930389404296875,3.9269561767578125
P01_IMG001_10000,P01,IMG001,2545.797,"(0.3263442814350128, 0.3241666555404663)","(0.3220832645893097, 0.3277389407157898)",1,1,3.7058563232421875,3.90887451171875
