file_image,file_csv,stem,mask,label,lap_var_norm
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG003_10000.jpg,,IMG003_10000,10000,meme,0.0035021481562714815
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG006_10000.jpg,,IMG006_10000,10000,meme,0.010318017111760478
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG007_10000.jpg,,IMG007_10000,10000,meme,0.03571289420856385
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG010_10000.jpg,,IMG010_10000,10000,meme,0.010908583202257096
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG108_10001.jpg,,IMG108_10001,10001,meme_text,0.04370068122435416
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG110_10001.jpg,,IMG110_10001,10001,meme_text,0.010457707192976031
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG111_10001.jpg,,IMG111_10001,10001,meme_text,0.01546435734985061
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG112_10001.jpg,,IMG112_10001,10001,meme_text,0.016559024908682007
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG114_10001.jpg,,IMG114_10001,10001,meme_text,0.003807720832790988
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG115_10001.jpg,,IMG115_10001,10001,meme_text,0.026657621301005904
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG118_10001.jpg,,IMG118_10001,10001,meme_text,0.02442148916845665
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG119_10001.jpg,,IMG119_10001,10001,meme_text,0.02785713812934473
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG120_10001.jpg,,IMG120_10001,10001,meme_text,0.057484322565047805
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG125_10001.jpg,,IMG125_10001,10001,meme_text,0.03988602622892866
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG146_10001.jpg,,IMG146_10001,10001,meme_text,0.11081591582855299
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG147_10001.jpg,,IMG147_10001,10001,meme_text,0.005305796459389363
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG148_10001.jpg,,IMG148_10001,10001,meme_text,0.07770582135754896
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG149_10001.jpg,,IMG149_10001,10001,meme_text,0.017981036750354545
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG014_01000.jpg,,IMG014_01000,01000,ort,0.05984310485946264
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG018_01000.jpg,,IMG018_01000,01000,ort,0.041598167031819316
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG019_01000.jpg,,IMG019_01000,01000,ort,0.10653983111966632
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG020_01000.jpg,,IMG020_01000,01000,ort,0.011409643378783928
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG021_01000.jpg,,IMG021_01000,01000,ort,0.052019860482657075
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG022_01000.jpg,,IMG022_01000,01000,ort,0.019031128558312273
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG023_01000.jpg,,IMG023_01000,01000,ort,0.005766171736580754
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG024_01000.jpg,,IMG024_01000,01000,ort,0.011576716204326064
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG025_01000.jpg,,IMG025_01000,01000,ort,0.04570329752426202
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG026_01000.jpg,,IMG026_01000,01000,ort,0.018480132849785152
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG027_01000.jpg,,IMG027_01000,01000,ort,0.005229041817038566
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG028_01000.jpg,,IMG028_01000,01000,ort,0.024555877184239624
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG029_01000.jpg,,IMG029_01000,01000,ort,0.016066363587637106
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG030_01000.jpg,,IMG030_01000,01000,ort,0.011686880092114996
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG031_01000.jpg,,IMG031_01000,01000,ort,0.007212630982671115
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG032_01000.jpg,,IMG032_01000,01000,ort,0.012902758045292022
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG011_01001.jpg,,IMG011_01001,01001,ort_text,0.0097818908025763
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG012_01001.jpg,,IMG012_01001,01001,ort_text,0.12239021106168786
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG013_01001.jpg,,IMG013_01001,01001,ort_text,0.0936491563647407
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG015_01001.jpg,,IMG015_01001,01001,ort_text,0.010911314416367461
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG016_01001.jpg,,IMG016_01001,01001,ort_text,0.06517434708442565
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG017_01001.jpg,,IMG017_01001,01001,ort_text,0.06343057033221679
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG128_01001.jpg,,IMG128_01001,01001,ort_text,0.00833234608406251
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG129_01001.jpg,,IMG129_01001,01001,ort_text,0.016272117934976165
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG130_01001.jpg,,IMG130_01001,01001,ort_text,0.02794481987842237
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG034_00100.jpg,,IMG034_00100,00100,person,0.01730362124751066
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG035_00100.jpg,,IMG035_00100,00100,person,0.04484478204881824
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG036_00100.jpg,,IMG036_00100,00100,person,0.014471949216553896
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG037_00100.jpg,,IMG037_00100,00100,person,0.04682063329945612
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG038_00100.jpg,,IMG038_00100,00100,person,0.00555524941563125
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG039_00100.jpg,,IMG039_00100,00100,person,0.019560168095690854
