device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
22385627540,22347536384,"(0.6441261768341064, 0.24448472261428833)","(80.82738494873047, 231.2266845703125, 77.32260131835938)",1,3.10418701171875,1,"(16.13187599182129, -8.48019027709961, 634.5235595703125)",1,"(0.6298007965087891, 0.22837604582309723)","(72.90113067626953, 235.93788146972656, 79.03731536865234)",1,3.1338348388671875,1,"(75.03058624267578, 4.80757999420166, 630.2080688476562)",1
22385644318,22347553162,"(0.6438426971435547, 0.24175921082496643)","(80.67050170898438, 232.02378845214844, 77.61275482177734)",1,3.1103057861328125,1,"(16.163055419921875, -8.472238540649414, 634.9251098632812)",1,"(0.6309239268302917, 0.221283957362175)","(73.5225830078125, 238.01202392578125, 79.79222106933594)",1,3.135101318359375,1,"(75.09071350097656, 4.815138816833496, 630.5447998046875)",1
22385660972,22347569816,"(0.6460089683532715, 0.24231280386447906)","(81.86912536621094, 231.8618927001953, 77.55378723144531)",1,3.1172027587890625,1,"(16.226652145385742, -8.452717781066895, 635.3953247070312)",1,"(0.63011634349823, 0.225101038813591)","(73.07574462890625, 236.89566040039062, 79.38595581054688)",1,3.13946533203125,1,"(75.22107696533203, 4.837475299835205, 631.0814819335938)",1
22385677460,22347586304,"(0.6463702917098999, 0.24105516076087952)","(82.0690689086914, 232.22970581054688, 77.68765258789062)",1,3.1212615966796875,1,"(16.29926300048828, -8.459590911865234, 635.7128295898438)",1,"(0.6297011971473694, 0.2209709733724594)","(72.84603881835938, 238.1035614013672, 79.82552337646484)",1,3.1673583984375,1,"(75.32366180419922, 4.82283353805542, 631.35986328125)",1
22385694187,22347603031,"(0.6450355052947998, 0.2461639791727066)","(81.33052825927734, 230.73556518554688, 77.14382934570312)",1,3.1418609619140625,1,"(16.3531494140625, -8.473592758178711, 635.7627563476562)",1,"(0.6307757496833801, 0.2281631976366043)","(73.44058990478516, 236.0001220703125, 79.0599365234375)",1,3.1840667724609375,1,"(75.36647033691406, 4.809860706329346, 631.4130859375)",1
22385710984,22347619828,"(0.6475880146026611, 0.24595242738723755)","(82.74281311035156, 230.79742431640625, 77.1663818359375)",1,3.153350830078125,1,"(16.409088134765625, -8.486377716064453, 635.7880859375)",1,"(0.629770815372467, 0.22501102089881897)","(72.88452911376953, 236.92202758789062, 79.39549255371094)",1,3.1760711669921875,1,"(75.45428466796875, 4.7752203941345215, 631.430908203125)",1
22385727380,22347636224,"(0.6455289125442505, 0.24331752955913544)","(81.603515625, 231.5680389404297, 77.44685363769531)",1,3.1617279052734375,1,"(16.451906204223633, -8.458436012268066, 635.4699096679688)",1,"(0.6270065307617188, 0.22232425212860107)","(71.35505676269531, 237.70779418945312, 79.68152618408203)",1,3.1837921142578125,1,"(75.45911407470703, 4.775378704071045, 631.12109375)",1
22385744153,22347652997,"(0.6480838060379028, 0.2402258962392807)","(83.01712799072266, 232.4722442626953, 77.77593994140625)",1,3.1786956787109375,1,"(16.458662033081055, -8.435593605041504, 635.1429443359375)",1,"(0.6257871985435486, 0.2189047932624817)","(70.680419921875, 238.7078399658203, 80.0455093383789)",1,3.182647705078125,1,"(75.43948364257812, 4.7863450050354, 630.837158203125)",1
22385760900,22347669744,"(0.6521739959716797, 0.2358521819114685)","(85.28020477294922, 233.75137329101562, 78.24151611328125)",1,3.178131103515625,1,"(16.4381046295166, -8.405573844909668, 634.7034912109375)",1,"(0.6256882548332214, 0.22657211124897003)","(70.62568664550781, 236.46543884277344, 79.2293701171875)",1,3.18719482421875,1,"(75.39317321777344, 4.808263301849365, 630.3192138671875)",1
22385777300,22347686144,"(0.6507108807563782, 0.2340882271528244)","(84.47074890136719, 234.26727294921875, 78.42927551269531)",1,3.179443359375,1,"(16.424074172973633, -8.420557022094727, 634.5125122070312)",1,"(0.6277873516082764, 0.22739075124263763)","(71.787109375, 236.2260284423828, 79.14221954345703)",1,3.197418212890625,1,"(75.3505859375, 4.797514915466309, 630.16455078125)",1
22385794023,22347702868,"(0.647745668888092, 0.24293655157089233)","(82.83010864257812, 231.679443359375, 77.48739624023438)",1,3.200897216796875,1,"(16.406023025512695, -8.435750007629395, 634.4637451171875)",1,"(0.6259996891021729, 0.22812634706497192)","(70.79801177978516, 236.01087951660156, 79.06389617919922)",1,3.20733642578125,1,"(75.33375549316406, 4.7861104011535645, 630.1282958984375)",1
22385810814,22347719659,"(0.6451013088226318, 0.24687564373016357)","(81.36693572998047, 230.52743530273438, 77.06806182861328)",1,3.208343505859375,1,"(16.37636947631836, -8.44737434387207, 634.2847290039062)",1,"(0.6309906840324402, 0.23141120374202728)","(73.55948638916016, 235.05020141601562, 78.71424102783203)",1,3.2007904052734375,1,"(75.24099731445312, 4.770760536193848, 629.9298706054688)",1
22385827220,22347736065,"(0.646668553352356, 0.24367476999759674)","(82.23406219482422, 231.4635772705078, 77.4088134765625)",1,3.213775634765625,1,"(16.326343536376953, -8.464521408081055, 634.1270141601562)",1,"(0.6307674050331116, 0.2336055040359497)","(73.43598175048828, 234.40843200683594, 78.48068237304688)",1,3.219970703125,1,"(75.18268585205078, 4.776317596435547, 629.7949829101562)",1
22385843989,22347752834,"(0.6491442322731018, 0.2411995828151703)","(83.60389709472656, 232.1874542236328, 77.67229461669922)",1,3.2190704345703125,1,"(16.29130744934082, -8.46339225769043, 634.1060791015625)",1,"(0.6290448307991028, 0.23231442272663116)","(72.4828872680664, 234.78602600097656, 78.61808776855469)",1,3.2258758544921875,1,"(75.16259002685547, 4.783480644226074, 629.7807006835938)",1
22385860730,22347769575,"(0.6479167342185974, 0.24389919638633728)","(82.92466735839844, 231.39794921875, 77.38491821289062)",1,3.2266693115234375,1,"(16.271785736083984, -8.448561668395996, 634.1211547851562)",1,"(0.629777193069458, 0.23338401317596436)","(72.88804626464844, 234.47325134277344, 78.50424194335938)",1,3.2354888916015625,1,"(75.10896301269531, 4.830971717834473, 629.8045654296875)",1
22385877140,22347785985,"(0.6468721628189087, 0.2437073439359665)","(82.34669494628906, 231.45404052734375, 77.40533447265625)",1,3.2342681884765625,1,"(16.25018310546875, -8.47252368927002, 634.3235473632812)",1,"(0.6270315051078796, 0.24180300533771515)","(71.36893463134766, 232.01101684570312, 77.60801696777344)",1,3.2398529052734375,1,"(75.0585708618164, 4.81472110748291, 629.9917602539062)",1
22385893859,22347802704,"(0.611954391002655, 0.34861433506011963)","(63.02671813964844, 200.77276611328125, 66.23828887939453)",1,3.2504119873046875,1,"(16.162952423095703, -8.646533966064453, 634.772705078125)",1,"(0.6054660677909851, 0.3125126361846924)","(59.43671798706055, 211.3311309814453, 70.0811767578125)",1,3.2543182373046875,1,"(74.93273162841797, 4.67165994644165, 630.3010864257812)",1
22385910645,22347819490,"(0.5515111684799194, 0.5319406986236572)","(29.58348846435547, 147.15679931640625, 46.72367477416992)",1,3.2338104248046875,1,"(15.96084213256836, -9.04342269897461, 635.6507568359375)",1,"(0.5415806770324707, 0.5162889361381531)","(24.088909149169922, 151.73434448242188, 48.3897705078125)",1,3.2850341796875,1,"(74.55316162109375, 4.124217510223389, 631.3588256835938)",1
22385927060,22347835905,"(0.5448672771453857, 0.5823377966880798)","(25.907421112060547, 132.41757202148438, 41.35900115966797)",1,3.231597900390625,1,"(15.860045433044434, -9.13103199005127, 635.2061767578125)",1,"(0.5442619323730469, 0.5404390096664429)","(25.572511672973633, 144.67135620117188, 45.81905746459961)",1,3.2979583740234375,1,"(74.48885345458984, 4.035281658172607, 631.0206298828125)",1
