device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
7090595246,7052431843,"(0.409639835357666, 0.287764310836792)","(-48.9139518737793, 218.56906127929688, 72.7155532836914)",1,4.6364898681640625,1,"(1.563070297241211, -110.39187622070312, 748.0606689453125)",1,"(0.4239426255226135, 0.3011065721511841)","(-41.00021743774414, 214.66696166992188, 71.29537200927734)",1,4.92376708984375,1,"(65.16094970703125, -122.18228149414062, 747.033935546875)",1
7090612346,7052448943,"(0.4055015444755554, 0.28486189246177673)","(-51.20368194580078, 219.4179229736328, 73.02450561523438)",1,4.6432037353515625,1,"(1.4508858919143677, -110.43321228027344, 748.1598510742188)",1,"(0.424812376499176, 0.30438750982284546)","(-40.51898193359375, 213.7073974609375, 70.94610595703125)",1,4.9297637939453125,1,"(65.03118133544922, -122.18476104736328, 747.1613159179688)",1
7090628599,7052465196,"(0.4066985547542572, 0.27855849266052246)","(-50.54135513305664, 221.26144409179688, 73.69549560546875)",1,4.6470489501953125,1,"(1.319899082183838, -110.41789245605469, 748.0202026367188)",1,"(0.4267590045928955, 0.3085715174674988)","(-39.44189453125, 212.48374938964844, 70.50074768066406)",1,4.924896240234375,1,"(64.9019546508789, -122.11613464355469, 747.0208740234375)",1
7090645212,7052481809,"(0.40848591923713684, 0.27869072556495667)","(-49.552371978759766, 221.2227325439453, 73.68142700195312)",1,4.655670166015625,1,"(1.2521618604660034, -110.42057037353516, 748.049560546875)",1,"(0.4255580008029938, 0.31217727065086365)","(-40.10641098022461, 211.42918395996094, 70.116943359375)",1,4.93499755859375,1,"(64.84810638427734, -122.09468841552734, 747.045654296875)",1
7090662261,7052498858,"(0.40618228912353516, 0.280170202255249)","(-50.82699203491211, 220.79002380371094, 73.52399444580078)",1,4.6460113525390625,1,"(1.1630887985229492, -110.45278930664062, 748.2674560546875)",1,"(0.4237980246543884, 0.31179893016815186)","(-41.08022689819336, 211.5398406982422, 70.15716552734375)",1,4.940216064453125,1,"(64.77499389648438, -122.11857604980469, 747.2907104492188)",1
7090678519,7052515116,"(0.4100731909275055, 0.28346508741378784)","(-48.67416763305664, 219.826416015625, 73.1732177734375)",1,4.648284912109375,1,"(1.0707414150238037, -110.43352508544922, 748.0616455078125)",1,"(0.4243885576725006, 0.30145224928855896)","(-40.75346374511719, 214.56585693359375, 71.25852966308594)",1,4.9205169677734375,1,"(64.68885040283203, -122.06645202636719, 747.0581665039062)",1
7090695081,7052531679,"(0.40930354595184326, 0.28477761149406433)","(-49.10001754760742, 219.4425506591797, 73.03349304199219)",1,4.661590576171875,1,"(1.0228676795959473, -110.432373046875, 747.9962158203125)",1,"(0.42150217294692993, 0.30603542923927307)","(-42.35050964355469, 213.22544860839844, 70.77066040039062)",1,4.939666748046875,1,"(64.63980865478516, -122.05209350585938, 746.992431640625)",1
7090712177,7052548775,"(0.40328484773635864, 0.27934250235557556)","(-52.4301643371582, 221.03211975097656, 73.61206817626953)",1,4.656036376953125,1,"(0.9641073346138, -110.45870971679688, 748.1719970703125)",1,"(0.42430171370506287, 0.2953402101993561)","(-40.801509857177734, 216.3533935546875, 71.9091567993164)",1,4.9376373291015625,1,"(64.57138061523438, -122.06389617919922, 747.1800537109375)",1
7090728439,7052565037,"(0.40394529700279236, 0.28524652123451233)","(-52.064735412597656, 219.30543518066406, 72.98359680175781)",1,4.6513214111328125,1,"(0.8794288635253906, -110.46207427978516, 748.2620849609375)",1,"(0.42295053601264954, 0.29242685437202454)","(-41.549137115478516, 217.20547485351562, 72.21925354003906)",1,4.9262847900390625,1,"(64.50863647460938, -122.04379272460938, 747.271484375)",1
7090745047,7052581645,"(0.4048728346824646, 0.28748035430908203)","(-51.551536560058594, 218.6521453857422, 72.74581146240234)",1,4.647216796875,1,"(0.8231061100959778, -110.43990325927734, 748.194091796875)",1,"(0.4197368025779724, 0.2984291613101959)","(-43.32730484008789, 215.45001220703125, 71.58036041259766)",1,4.9175872802734375,1,"(64.46394348144531, -121.99562072753906, 747.2186889648438)",1
7090762091,7052598689,"(0.40487271547317505, 0.28903689980506897)","(-51.55161666870117, 218.19688415527344, 72.58015441894531)",1,4.6566009521484375,1,"(0.7517901659011841, -110.42609405517578, 748.1048583984375)",1,"(0.4278022050857544, 0.31010618805885315)","(-38.86471939086914, 212.03492736816406, 70.33734893798828)",1,4.90899658203125,1,"(64.34650421142578, -121.90274810791016, 747.1163330078125)",1
7090778359,7052614957,"(0.406393826007843, 0.28498050570487976)","(-50.709983825683594, 219.3832244873047, 73.01192474365234)",1,4.65325927734375,1,"(0.6751673221588135, -110.42733001708984, 747.9827270507812)",1,"(0.42676007747650146, 0.3152470588684082)","(-39.4412956237793, 210.5314178466797, 69.79009246826172)",1,4.896636962890625,1,"(64.2728042602539, -121.84957885742188, 747.0108032226562)",1
7090794917,7052631515,"(0.4067150056362152, 0.2886483073234558)","(-50.53225326538086, 218.31051635742188, 72.62151336669922)",1,4.645843505859375,1,"(0.6344332098960876, -110.40882873535156, 747.8758544921875)",1,"(0.42563414573669434, 0.31297874450683594)","(-40.064300537109375, 211.19479370117188, 70.03157806396484)",1,4.8890228271484375,1,"(64.23188018798828, -121.81632232666016, 746.9168701171875)",1
7090812007,7052648605,"(0.4074254333972931, 0.2896590530872345)","(-50.1391716003418, 218.01492309570312, 72.513916015625)",1,4.639923095703125,1,"(0.5736746191978455, -110.37980651855469, 747.6670532226562)",1,"(0.4238113462924957, 0.31235429644584656)","(-41.072837829589844, 211.37742614746094, 70.0979995727539)",1,4.8801422119140625,1,"(64.15890502929688, -121.76296997070312, 746.676025390625)",1
7090828279,7052664877,"(0.41291651129722595, 0.31543564796447754)","(-47.100975036621094, 210.47622680664062, 69.77008056640625)",1,4.654632568359375,1,"(0.5619017481803894, -110.40773010253906, 747.6754150390625)",1,"(0.4342912435531616, 0.32850372791290283)","(-35.27430725097656, 206.6543426513672, 68.37898254394531)",1,4.871368408203125,1,"(64.15432739257812, -121.80042266845703, 746.6795043945312)",1
