device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
11198069600,11133079654,"(0.5013160109519958, 0.29086631536483765)","(1.8104705810546875, 217.66188049316406, 72.3853759765625)",1,3.2545928955078125,1,"(-39.67837905883789, -116.65128326416016, 675.0494995117188)",1,"(0.4663562476634979, 0.2619715929031372)","(-17.53274917602539, 226.1124267578125, 75.46115112304688)",1,3.262603759765625,1,"(15.729846000671387, -122.160400390625, 677.01513671875)",1
11198086240,11133096294,"(0.5017722845077515, 0.2932312786579132)","(2.0629560947418213, 216.97018432617188, 72.1336669921875)",1,3.2570648193359375,1,"(-39.73984909057617, -116.7435073852539, 675.1832275390625)",1,"(0.46829137206077576, 0.26542016863822937)","(-16.462032318115234, 225.1038818359375, 75.09402465820312)",1,3.2842864990234375,1,"(15.670511245727539, -122.26605987548828, 677.15625)",1
11198102282,11133112336,"(0.5031636357307434, 0.29224756360054016)","(2.8328113555908203, 217.25787353515625, 72.23835754394531)",1,3.2668914794921875,1,"(-39.82041931152344, -116.96995544433594, 675.7610473632812)",1,"(0.47091856598854065, 0.2598797678947449)","(-15.008418083190918, 226.72422790527344, 75.68383026123047)",1,3.2832489013671875,1,"(15.632553100585938, -122.48152923583984, 677.7446899414062)",1
11198119469,11133129523,"(0.5039042830467224, 0.2874391973018646)","(3.2425689697265625, 218.6641387939453, 72.75021362304688)",1,3.2686309814453125,1,"(-39.87709426879883, -117.1197509765625, 676.2344360351562)",1,"(0.47155702114105225, 0.2610040307044983)","(-14.655155181884766, 226.39544677734375, 75.56415557861328)",1,3.2721099853515625,1,"(15.619165420532227, -122.61170959472656, 678.1925659179688)",1
11198136160,11133146214,"(0.5047314167022705, 0.284227579832077)","(3.700218439102173, 219.6034393310547, 73.09207916259766)",1,3.27459716796875,1,"(-39.90184020996094, -117.25578308105469, 676.6066284179688)",1,"(0.47303158044815063, 0.26075586676597595)","(-13.839282035827637, 226.46803283691406, 75.59056854248047)",1,3.27728271484375,1,"(15.615838050842285, -122.76217651367188, 678.5889892578125)",1
11198152202,11133162256,"(0.5049999952316284, 0.28557801246643066)","(3.84885573387146, 219.20846557617188, 72.94835662841797)",1,3.2833709716796875,1,"(-39.889991760253906, -117.28026580810547, 676.5991821289062)",1,"(0.4720695912837982, 0.2614864706993103)","(-14.371546745300293, 226.2543487548828, 75.51280212402344)",1,3.279754638671875,1,"(15.613542556762695, -122.77962493896484, 678.5715942382812)",1
11198169435,11133179490,"(0.5055553317070007, 0.2879287898540497)","(4.156105995178223, 218.52096557617188, 72.6980972290039)",1,3.28863525390625,1,"(-39.883018493652344, -117.2545166015625, 676.5513305664062)",1,"(0.47304511070251465, 0.2655271887779236)","(-13.831803321838379, 225.0725555419922, 75.08268737792969)",1,3.2735595703125,1,"(15.610665321350098, -122.76177978515625, 678.5235595703125)",1
11198186080,11133196135,"(0.5060553550720215, 0.2831827402114868)","(4.432769775390625, 219.90902709960938, 73.20330810546875)",1,3.2955474853515625,1,"(-39.863956451416016, -117.20384216308594, 676.4984741210938)",1,"(0.4725389778614044, 0.2635180652141571)","(-14.11185073852539, 225.66014099121094, 75.29651641845703)",1,3.2885894775390625,1,"(15.612689018249512, -122.72879791259766, 678.4599609375)",1
11198202122,11133212177,"(0.5031035542488098, 0.28441089391708374)","(2.7995314598083496, 219.54978942871094, 73.07255554199219)",1,3.299774169921875,1,"(-39.81960678100586, -117.080322265625, 676.4027709960938)",1,"(0.47013911604881287, 0.261403352022171)","(-15.439698219299316, 226.27862548828125, 75.52165222167969)",1,3.2909698486328125,1,"(15.63283920288086, -122.63383483886719, 678.35498046875)",1
11198219304,11133229359,"(0.500796914100647, 0.28783997893333435)","(1.5232819318771362, 218.5469512939453, 72.70755004882812)",1,3.3036041259765625,1,"(-39.78361129760742, -116.98960876464844, 676.4190673828125)",1,"(0.47070732712745667, 0.264905720949173)","(-15.125317573547363, 225.2543182373047, 75.14884185791016)",1,3.2926483154296875,1,"(15.647626876831055, -122.56629180908203, 678.3712158203125)",1
