device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
10495068667,10456442664,"(0.47505316138267517, 0.3044742941856384)","(-12.720746994018555, 213.68202209472656, 70.93690490722656)",1,5.1175079345703125,1,"(-2.9750916957855225, -84.47579193115234, 679.3252563476562)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
10495084709,10456458706,"(0.5235767960548401, 0.2764803171157837)","(14.127399444580078, 221.8692169189453, 73.91671752929688)",1,4.9762115478515625,1,"(-2.9668772220611572, -84.47325134277344, 679.2567138671875)",1,"(0.45781412720680237, 0.26970168948173523)","(-22.259092330932617, 223.85166931152344, 74.63834381103516)",1,5.0954742431640625,1,"(52.813541412353516, -85.77745819091797, 677.3579711914062)",1
10495101947,10456475944,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.45674845576286316, 0.2689702808856964)","(-22.848735809326172, 224.06558227539062, 74.71619415283203)",1,5.0967254638671875,1,"(52.82020568847656, -85.77432250976562, 677.3292846679688)",1
10495118587,10456492584,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
10495134629,10456508626,"(0.47842544317245483, 0.2869313955307007)","(-10.854856491088867, 218.81265258789062, 72.80426788330078)",1,5.0848541259765625,1,"(-2.820603132247925, -84.474365234375, 679.4395141601562)",1,"(0.4626469016075134, 0.2699933648109436)","(-19.585134506225586, 223.76634216308594, 74.60726928710938)",1,5.098175048828125,1,"(52.93363571166992, -85.78963470458984, 677.5034790039062)",1
10495151867,10456525864,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4628848731517792, 0.27486374974250793)","(-19.453472137451172, 222.3419647216797, 74.08885192871094)",1,5.087890625,1,"(52.953792572021484, -85.78980255126953, 677.5343017578125)",1
10495168405,10456542402,"(0.4591469168663025, 0.30840468406677246)","(-21.521652221679688, 212.5325469970703, 70.51849365234375)",1,5.0815887451171875,1,"(-2.722727060317993, -84.42413330078125, 679.3333129882812)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
10495184549,10456558546,"(0.5132768750190735, 0.2830037772655487)","(8.42846393585205, 219.96136474609375, 73.2222900390625)",1,4.9652099609375,1,"(-2.6954832077026367, -84.43633270263672, 679.3280639648438)",1,"(0.46480855345726013, 0.27695125341415405)","(-18.38909339904785, 221.73147583007812, 73.86660766601562)",1,5.0865478515625,1,"(53.06379699707031, -85.7665023803711, 677.4140014648438)",1
10495201787,10456575784,"(0.5393954515457153, 0.24462150037288666)","(22.879880905151367, 231.18670654296875, 77.30799865722656)",1,4.84716796875,1,"(-2.667436361312866, -84.42456817626953, 679.4522094726562)",1,"(0.4658025801181793, 0.2749558985233307)","(-17.839080810546875, 222.3150177001953, 74.0790023803711)",1,5.102813720703125,1,"(53.07074737548828, -85.77112579345703, 677.4641723632812)",1
10495218417,10456592414,"(0.5255197286605835, 0.24351151287555695)","(15.202431678771973, 231.51132202148438, 77.4261703491211)",1,4.7954864501953125,1,"(-2.6469578742980957, -84.51722717285156, 680.1095581054688)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
10495234469,10456608466,"(0.46102139353752136, 0.30213242769241333)","(-20.484542846679688, 214.366943359375, 71.1861572265625)",1,5.0883026123046875,1,"(-2.6658236980438232, -84.53461456298828, 680.37158203125)",1,"(0.4650174379348755, 0.27844423055648804)","(-18.273523330688477, 221.29483032226562, 73.70773315429688)",1,5.1009063720703125,1,"(53.15764236450195, -85.86778259277344, 678.4586181640625)",1
10495251707,10456625704,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4643341302871704, 0.2784767746925354)","(-18.651592254638672, 221.2853240966797, 73.70425415039062)",1,5.1004638671875,1,"(53.156982421875, -85.8803482055664, 678.4710693359375)",1
10495268347,10456642344,"(0.47588661313056946, 0.30902349948883057)","(-12.259600639343262, 212.35154724121094, 70.45259857177734)",1,5.163543701171875,1,"(-2.693943500518799, -84.56747436523438, 680.5462646484375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
10495284389,10456658386,"(0.47386685013771057, 0.3110513687133789)","(-13.377129554748535, 211.7584686279297, 70.23677062988281)",1,5.1687469482421875,1,"(-2.7126097679138184, -84.58414459228516, 680.6205444335938)",1,"(0.45874685049057007, 0.27721932530403137)","(-21.74304962158203, 221.65306091308594, 73.83807373046875)",1,5.100494384765625,1,"(53.1378059387207, -85.9531021118164, 678.68798828125)",1
10495301627,10456675625,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4644724428653717, 0.28015685081481934)","(-18.575050354003906, 220.79396057128906, 73.52538299560547)",1,5.101531982421875,1,"(53.124290466308594, -85.9375, 678.710693359375)",1
10495318267,10456692265,"(0.4809829592704773, 0.26400116086006165)","(-9.43978214263916, 225.51890563964844, 75.24507141113281)",1,5.127288818359375,1,"(-2.656507730484009, -84.45191955566406, 680.5555419921875)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
10495334309,10456708307,"(0.48424750566482544, 0.25578680634498596)","(-7.633505821228027, 227.9212646484375, 76.1195297241211)",1,5.1224365234375,1,"(-2.6920549869537354, -84.40138244628906, 680.279052734375)",1,"(0.4811943471431732, 0.2450450211763382)","(-9.322831153869629, 231.0628204345703, 77.26295471191406)",1,5.1051177978515625,1,"(53.02043914794922, -85.74295806884766, 678.4199829101562)",1
10495351547,10456725545,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.47942447662353516, 0.24437572062015533)","(-10.302098274230957, 231.2585906982422, 77.33419036865234)",1,5.1045074462890625,1,"(53.00823974609375, -85.73030853271484, 678.3284912109375)",1
10495368187,10456742185,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
10495384229,10456758227,"(0.49726200103759766, 0.23805339634418488)","(-0.43259456753730774, 233.10760498046875, 78.0072021484375)",1,5.126068115234375,1,"(-2.8929903507232666, -84.3861312866211, 680.4146728515625)",1,"(0.47478875517845154, 0.248831644654274)","(-12.867036819458008, 229.95538330078125, 76.85994720458984)",1,5.1182098388671875,1,"(52.88576126098633, -85.71856689453125, 678.5089111328125)",1
