device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
15976616946,15948351119,"(0.5177720189094543, 0.1866101324558258)","(10.91562557220459, 248.15280151367188, 83.48320770263672)",1,4.221527099609375,1,"(7.691121578216553, -14.165815353393555, 613.2390747070312)",1,"(0.5075194239616394, 0.21637976169586182)","(5.24286413192749, 239.4462890625, 80.31431579589844)",1,4.1377105712890625,1,"(74.56776428222656, -14.152979850769043, 608.6644897460938)",1
15976634101,15948368274,"(0.5177315473556519, 0.18780452013015747)","(10.893227577209473, 247.803466796875, 83.35606384277344)",1,4.2301025390625,1,"(7.711305141448975, -14.140678405761719, 613.0364379882812)",1,"(0.5105137228965759, 0.2181244045495987)","(6.899597644805908, 238.93606567382812, 80.12859344482422)",1,4.1359100341796875,1,"(74.55379486083984, -14.135580062866211, 608.4857788085938)",1
15976650989,15948385162,"(0.518402636051178, 0.19102828204631805)","(11.264549255371094, 246.8606719970703, 83.01287078857422)",1,4.2333221435546875,1,"(7.7246198654174805, -14.111844062805176, 612.8925170898438)",1,"(0.5108393430709839, 0.21999026834964752)","(7.079766750335693, 238.390380859375, 79.92999267578125)",1,4.1424102783203125,1,"(74.54552459716797, -14.112619400024414, 608.3172607421875)",1
15976666866,15948401039,"(0.5178008675575256, 0.19286519289016724)","(10.931571960449219, 246.32342529296875, 82.81735229492188)",1,4.2377777099609375,1,"(7.71544075012207, -14.115720748901367, 613.1408081054688)",1,"(0.5104451179504395, 0.21685637533664703)","(6.861576557159424, 239.3069305419922, 80.26358795166016)",1,4.1479034423828125,1,"(74.56269836425781, -14.116876602172852, 608.5518188476562)",1
15976683970,15948418143,"(0.5179308652877808, 0.18966126441955566)","(11.00351619720459, 247.26046752929688, 83.15840911865234)",1,4.23773193359375,1,"(7.701289176940918, -14.119192123413086, 612.9237670898438)",1,"(0.509282112121582, 0.2154012769460678)","(6.218104362487793, 239.7324981689453, 80.41847229003906)",1,4.138946533203125,1,"(74.53512573242188, -14.11629581451416, 608.3961791992188)",1
15976700809,15948434982,"(0.5171689987182617, 0.1902932971715927)","(10.58195686340332, 247.0756072998047, 83.09117126464844)",1,4.2413330078125,1,"(7.670790672302246, -14.1279296875, 612.6519165039062)",1,"(0.5061555504798889, 0.21411210298538208)","(4.4882073402404785, 240.1095428466797, 80.55563354492188)",1,4.1356658935546875,1,"(74.46176147460938, -14.095817565917969, 608.0814208984375)",1
15976716786,15948450959,"(0.5146251916885376, 0.1877029985189438)","(9.174458503723145, 247.83319091796875, 83.36681365966797)",1,4.240264892578125,1,"(7.636342525482178, -14.115640640258789, 612.3909301757812)",1,"(0.508288562297821, 0.2162899523973465)","(5.668458938598633, 239.4725799560547, 80.3238525390625)",1,4.12371826171875,1,"(74.3862075805664, -14.069939613342285, 607.835693359375)",1
15976733936,15948468109,"(0.5156780481338501, 0.18708953261375427)","(9.757018089294434, 248.0126190185547, 83.43215942382812)",1,4.23992919921875,1,"(7.615015029907227, -14.102648735046387, 612.3724975585938)",1,"(0.5123432278633118, 0.21952711045742035)","(7.91183614730835, 238.5258331298828, 79.97928619384766)",1,4.1373138427734375,1,"(74.35040283203125, -14.058392524719238, 607.816650390625)",1
15976750724,15948484897,"(0.5163035988807678, 0.19581149518489838)","(10.103114128112793, 245.46176147460938, 82.50370025634766)",1,4.25750732421875,1,"(7.587686061859131, -14.085541725158691, 612.4956665039062)",1,"(0.5084384679794312, 0.2205558568239212)","(5.751365661621094, 238.22499084472656, 79.86973571777344)",1,4.1552276611328125,1,"(74.3261489868164, -14.041365623474121, 607.9669799804688)",1
15976766706,15948500879,"(0.515048623085022, 0.1944432407617569)","(9.408748626708984, 245.8618927001953, 82.64936065673828)",1,4.2717132568359375,1,"(7.563127517700195, -14.055947303771973, 612.8294677734375)",1,"(0.5096983909606934, 0.22309629619121552)","(6.448415756225586, 237.4819793701172, 79.59935760498047)",1,4.1687469482421875,1,"(74.31795501708984, -14.00798225402832, 608.2763671875)",1
15976783806,15948517980,"(0.5144340395927429, 0.1977405846118927)","(9.068707466125488, 244.89755249023438, 82.29839324951172)",1,4.2672576904296875,1,"(7.552460193634033, -14.021686553955078, 612.7745971679688)",1,"(0.5068626403808594, 0.21724463999271393)","(4.8794403076171875, 239.193359375, 80.22225189208984)",1,4.1664276123046875,1,"(74.29574584960938, -13.983596801757812, 608.258544921875)",1
15976800639,15948534813,"(0.5181700587272644, 0.20352241396903992)","(11.13585090637207, 243.20657348632812, 81.68291473388672)",1,4.2783660888671875,1,"(7.505188465118408, -13.97162914276123, 612.7726440429688)",1,"(0.5043512582778931, 0.21868915855884552)","(3.4899086952209473, 238.77088928222656, 80.0684585571289)",1,4.144989013671875,1,"(74.24352264404297, -13.904862403869629, 608.2631225585938)",1
