device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
18652363468,18624111086,"(0.6072429418563843, 0.5039395689964294)","(60.419921875, 155.34605407714844, 49.70431137084961)",1,4.2247314453125,1,"(9.358551979064941, -14.124808311462402, 649.3564453125)",1,"(0.5944864749908447, 0.4988448917865753)","(53.3617057800293, 156.8360595703125, 50.24659729003906)",1,3.7838897705078125,1,"(73.43402862548828, -14.352784156799316, 645.2468872070312)",1
18652380352,18624127970,"(0.6061875820159912, 0.5029819011688232)","(59.83592987060547, 155.62612915039062, 49.80622482299805)",1,4.2252349853515625,1,"(9.372297286987305, -14.12091064453125, 649.351318359375)",1,"(0.595134437084198, 0.5017930865287781)","(53.72026062011719, 155.97381591796875, 49.93281173706055)",1,3.7886199951171875,1,"(73.44590759277344, -14.340312957763672, 645.23974609375)",1
18652396357,18624143975,"(0.6038166284561157, 0.50252765417099)","(58.52410888671875, 155.75897216796875, 49.854610443115234)",1,4.2245025634765625,1,"(9.44221019744873, -14.108963012695312, 649.3229370117188)",1,"(0.5942540168762207, 0.5043412446975708)","(53.23311233520508, 155.2285614013672, 49.661529541015625)",1,3.7895355224609375,1,"(73.49407196044922, -14.320863723754883, 645.2135620117188)",1
18652413434,18624161052,"(0.60624098777771, 0.5041187405586243)","(59.8654899597168, 155.29364013671875, 49.68523025512695)",1,4.2172088623046875,1,"(9.492816925048828, -14.092947006225586, 649.36572265625)",1,"(0.5945863723754883, 0.5044406056404114)","(53.41703414916992, 155.1995391845703, 49.65094757080078)",1,3.787811279296875,1,"(73.55419921875, -14.303025245666504, 645.2406616210938)",1
18652430267,18624177885,"(0.6079297661781311, 0.5016142129898071)","(60.79981994628906, 156.02615356445312, 49.95179748535156)",1,4.2172393798828125,1,"(9.596244812011719, -14.077861785888672, 649.3211669921875)",1,"(0.5955287218093872, 0.5085489749908447)","(53.93838882446289, 153.99798583984375, 49.213619232177734)",1,3.7814788818359375,1,"(73.6666259765625, -14.296347618103027, 645.1800537109375)",1
18652446277,18624193895,"(0.6040557622909546, 0.49740979075431824)","(58.65641403198242, 157.25576782226562, 50.399410247802734)",1,4.22149658203125,1,"(9.728650093078613, -14.052489280700684, 649.196533203125)",1,"(0.5946691036224365, 0.5081079602241516)","(53.46274948120117, 154.12698364257812, 49.260589599609375)",1,3.780029296875,1,"(73.7719497680664, -14.29188060760498, 645.05615234375)",1
18652463303,18624210921,"(0.6049772500991821, 0.49669888615608215)","(59.166255950927734, 157.4636993408203, 50.475074768066406)",1,4.2154388427734375,1,"(9.787206649780273, -14.013115882873535, 649.0299072265625)",1,"(0.5977492332458496, 0.50688636302948)","(55.1670036315918, 154.4842529296875, 49.39059066772461)",1,3.78656005859375,1,"(73.80360412597656, -14.283846855163574, 644.8936767578125)",1
18652480183,18624227802,"(0.6051594018936157, 0.5003637671470642)","(59.267059326171875, 156.39183044433594, 50.08490753173828)",1,4.2150726318359375,1,"(9.876131057739258, -13.9598970413208, 648.9330444335938)",1,"(0.5956467390060425, 0.5035422444343567)","(54.003692626953125, 155.4622802734375, 49.74659729003906)",1,3.7876129150390625,1,"(73.8911361694336, -14.28442096710205, 644.777587890625)",1
18652496202,18624243821,"(0.6072884202003479, 0.5063492059707642)","(60.44503402709961, 154.64132690429688, 49.44782257080078)",1,4.215545654296875,1,"(9.94021987915039, -13.939859390258789, 648.97998046875)",1,"(0.5962973237037659, 0.5018369555473328)","(54.3636474609375, 155.9610137939453, 49.92808151245117)",1,3.7801666259765625,1,"(73.96788787841797, -14.30269718170166, 644.806884765625)",1
18652513269,18624260888,"(0.6037968993186951, 0.5071505308151245)","(58.513179779052734, 154.406982421875, 49.36251449584961)",1,4.208709716796875,1,"(9.99283218383789, -13.949880599975586, 648.9996948242188)",1,"(0.596489667892456, 0.5036354660987854)","(54.470088958740234, 155.4350128173828, 49.73664093017578)",1,3.7832794189453125,1,"(74.0001449584961, -14.337492942810059, 644.830078125)",1
