device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1753615250,1713455438,"(0.4634910523891449, 0.297172874212265)","(-19.118061065673828, 215.8174285888672, 71.7140884399414)",1,3.0165863037109375,1,"(-54.573726654052734, -58.79011535644531, 724.48779296875)",1,"(0.4661180377006531, 0.29221054911613464)","(-17.664535522460938, 217.2687225341797, 72.24226379394531)",1,3.3897857666015625,1,"(7.051851749420166, -65.5618896484375, 727.0938720703125)",1
1753631969,1713472157,"(0.5279585719108582, 0.30108949542045593)","(16.551794052124023, 214.67198181152344, 71.29717254638672)",1,3.0219573974609375,1,"(-54.34368133544922, -58.863136291503906, 724.7349853515625)",1,"(0.5362518429756165, 0.30527642369270325)","(21.140480041503906, 213.44744873046875, 70.85144805908203)",1,3.393463134765625,1,"(7.245882034301758, -65.64286041259766, 727.3265380859375)",1
1753648835,1713489023,"(0.5408930778503418, 0.30664852261543274)","(23.70849609375, 213.0461883544922, 70.70540618896484)",1,3.0097503662109375,1,"(-54.29466247558594, -58.88800048828125, 725.12353515625)",1,"(0.549043595790863, 0.3009699881076813)","(28.21816635131836, 214.7069549560547, 71.30982971191406)",1,3.382080078125,1,"(7.307353496551514, -65.69367980957031, 727.70556640625)",1
1753665120,1713505309,"(0.5395022630691528, 0.3011050522327423)","(22.938919067382812, 214.66741943359375, 71.29548645019531)",1,3.01214599609375,1,"(-54.30314636230469, -58.86812210083008, 724.989990234375)",1,"(0.5483802556991577, 0.3079026937484741)","(27.851152420043945, 212.67938232421875, 70.57184600830078)",1,3.3898773193359375,1,"(7.302534103393555, -65.68775177001953, 727.58056640625)",1
1753681981,1713522170,"(0.5431795716285706, 0.3045123219490051)","(24.97359848022461, 213.67092895507812, 70.93277740478516)",1,3.0032958984375,1,"(-54.31852722167969, -58.85835647583008, 725.077392578125)",1,"(0.5497274994850159, 0.3107549846172333)","(28.59660530090332, 211.84518432617188, 70.2682876586914)",1,3.3907318115234375,1,"(7.321956634521484, -65.70478057861328, 727.6659545898438)",1
1753698754,1713538943,"(0.5404122471809387, 0.3065415620803833)","(23.442453384399414, 213.07740783691406, 70.71685028076172)",1,3.00146484375,1,"(-54.298763275146484, -58.863948822021484, 725.1430053710938)",1,"(0.5479395985603333, 0.3100943863391876)","(27.607337951660156, 212.03836059570312, 70.33865356445312)",1,3.3928375244140625,1,"(7.361013889312744, -65.72108459472656, 727.7279052734375)",1
1753715086,1713555275,"(0.5411384105682373, 0.30567222833633423)","(23.84423065185547, 213.33164978027344, 70.80935668945312)",1,2.9915008544921875,1,"(-54.28834915161133, -58.87093734741211, 725.2239379882812)",1,"(0.5442725419998169, 0.30760738253593445)","(25.578319549560547, 212.76573181152344, 70.60335540771484)",1,3.3785400390625,1,"(7.410741806030273, -65.72742462158203, 727.8169555664062)",1
1753731897,1713572086,"(0.5386940240859985, 0.30433282256126404)","(22.49173355102539, 213.72340393066406, 70.951904296875)",1,2.9980316162109375,1,"(-54.25186538696289, -58.87206268310547, 725.2619018554688)",1,"(0.5407235622406006, 0.3025141656398773)","(23.614675521850586, 214.2552947998047, 71.14552307128906)",1,3.3685455322265625,1,"(7.470365524291992, -65.73588562011719, 727.8419189453125)",1
1753748675,1713588864,"(0.5377262234687805, 0.30358752608299255)","(21.956275939941406, 213.94137573242188, 71.03123474121094)",1,3.0071258544921875,1,"(-54.21778106689453, -58.8674201965332, 725.127685546875)",1,"(0.5416444540023804, 0.30265122652053833)","(24.124189376831055, 214.21519470214844, 71.13094329833984)",1,3.3828887939453125,1,"(7.485887050628662, -65.73741149902344, 727.7166748046875)",1
1753765052,1713605241,"(0.5394513607025146, 0.302746444940567)","(22.910808563232422, 214.18736267089844, 71.12076568603516)",1,3.0117034912109375,1,"(-54.20042037963867, -58.86176681518555, 724.9075927734375)",1,"(0.5432749390602112, 0.3133098781108856)","(25.026386260986328, 211.09796142578125, 69.99630737304688)",1,3.390625,1,"(7.487470626831055, -65.72079467773438, 727.4786376953125)",1
