device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
12711446135,12672821130,"(0.5170791149139404, 0.41580647230148315)","(10.532225608825684, 181.12161254882812, 59.085845947265625)",1,5.2525482177734375,1,"(13.116132736206055, -29.489810943603516, 667.90283203125)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12711462936,12672837931,"(0.5191097855567932, 0.41355088353157043)","(11.655791282653809, 181.78126525878906, 59.32597732543945)",1,5.2595672607421875,1,"(13.084349632263184, -29.501800537109375, 668.0791625976562)",1,"(0.4944988787174225, 0.4062090516090393)","(-1.961414098739624, 183.92849731445312, 60.10744094848633)",1,5.6803436279296875,1,"(91.00862884521484, -27.97269630432129, 661.9194946289062)",1
12711479323,12672854318,"(0.5182508826255798, 0.4143297076225281)","(11.180545806884766, 181.55348205566406, 59.24308776855469)",1,5.26617431640625,1,"(13.066205978393555, -29.512218475341797, 668.1657104492188)",1,"(0.4963279664516449, 0.40509286522865295)","(-0.949396550655365, 184.25494384765625, 60.22626495361328)",1,5.6816864013671875,1,"(91.00325012207031, -27.974868774414062, 661.948486328125)",1
12711496051,12672871046,"(0.5193948745727539, 0.414603054523468)","(11.81352424621582, 181.47357177734375, 59.21394729614258)",1,5.269500732421875,1,"(13.038044929504395, -29.52519989013672, 668.1837768554688)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12711512856,12672887851,"(0.5184351205825806, 0.41579878330230713)","(11.282495498657227, 181.1238555908203, 59.08668518066406)",1,5.273956298828125,1,"(13.009653091430664, -29.534160614013672, 668.0421752929688)",1,"(0.5000571608543396, 0.41180750727653503)","(1.1139367818832397, 182.29116821289062, 59.5114860534668)",1,5.68353271484375,1,"(90.91493225097656, -27.96582794189453, 661.8212890625)",1
12711529193,12672904188,"(0.5125585794448853, 0.4108825623989105)","(8.03097915649414, 182.56167602539062, 59.61000442504883)",1,5.2677764892578125,1,"(12.994732856750488, -29.546836853027344, 667.98193359375)",1,"(0.4994750916957855, 0.4130088686943054)","(0.7918697595596313, 181.93983459472656, 59.383609771728516)",1,5.68212890625,1,"(90.90510559082031, -27.96416664123535, 661.8028564453125)",1
12711545966,12672920961,"(0.5133438110351562, 0.41245514154434204)","(8.465459823608398, 182.10179138183594, 59.44255828857422)",1,5.2713165283203125,1,"(12.960655212402344, -29.550416946411133, 667.992919921875)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12711562776,12672937771,"(0.5104598999023438, 0.4089248478412628)","(6.869821548461914, 183.13424682617188, 59.81830596923828)",1,5.2908477783203125,1,"(12.950296401977539, -29.559900283813477, 668.1299438476562)",1,"(0.49342355132102966, 0.4120846688747406)","(-2.5564024448394775, 182.2101287841797, 59.48197555541992)",1,5.683807373046875,1,"(90.87908172607422, -27.936450958251953, 661.9877319335938)",1
12711579159,12672954154,"(0.5101386308670044, 0.4094403386116028)","(6.692068576812744, 182.9834747314453, 59.76347351074219)",1,5.2894744873046875,1,"(12.93560791015625, -29.5654296875, 668.215087890625)",1,"(0.4948720932006836, 0.4124022424221039)","(-1.7549329996109009, 182.1172332763672, 59.44816970825195)",1,5.69146728515625,1,"(90.8800277709961, -27.93546485900879, 662.023193359375)",1
12711595882,12672970877,"(0.5114198923110962, 0.41045084595680237)","(7.401000499725342, 182.68795776367188, 59.65593719482422)",1,5.29742431640625,1,"(12.914583206176758, -29.58594512939453, 668.2711181640625)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12711612696,12672987691,"(0.5106476545333862, 0.40856918692588806)","(6.973691940307617, 183.23825073242188, 59.856224060058594)",1,5.3035736083984375,1,"(12.898399353027344, -29.60418701171875, 668.44140625)",1,"(0.4972440004348755, 0.41198641061782837)","(-0.44251784682273865, 182.23883056640625, 59.49243927001953)",1,5.7023773193359375,1,"(90.87100982666016, -27.931875228881836, 662.3162231445312)",1
12711629028,12673004023,"(0.5163512229919434, 0.4128304719924927)","(10.129494667053223, 181.99197387695312, 59.40262222290039)",1,5.31207275390625,1,"(12.882756233215332, -29.614469528198242, 668.5621337890625)",1,"(0.49518465995788574, 0.41384825110435486)","(-1.5819486379623413, 181.69432067871094, 59.294246673583984)",1,5.7097625732421875,1,"(90.86944580078125, -27.931472778320312, 662.3563842773438)",1
12711645798,12673020793,"(0.5130448937416077, 0.41142165660858154)","(8.30007553100586, 182.4040069580078, 59.5526008605957)",1,5.3178558349609375,1,"(12.86333179473877, -29.628568649291992, 668.6068725585938)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12711662616,12673037611,"(0.5134249329566956, 0.41633912920951843)","(8.510340690612793, 180.96585083007812, 59.02915573120117)",1,5.3203582763671875,1,"(12.824931144714355, -29.638492584228516, 668.4911499023438)",1,"(0.49500083923339844, 0.4072577655315399)","(-1.683685302734375, 183.62179565429688, 59.995811462402344)",1,5.7099609375,1,"(90.7928466796875, -27.941818237304688, 662.2772827148438)",1
12711678994,12673053989,"(0.514119029045105, 0.42084312438964844)","(8.894430160522461, 179.6486053466797, 58.5496940612793)",1,5.329010009765625,1,"(12.811288833618164, -29.639453887939453, 668.3260498046875)",1,"(0.49519824981689453, 0.406442254781723)","(-1.574472427368164, 183.86032104492188, 60.08262252807617)",1,5.7094268798828125,1,"(90.7774887084961, -27.944156646728516, 662.2081298828125)",1
12711695712,12673070707,"(0.514035165309906, 0.4105929434299469)","(8.848012924194336, 182.64637756347656, 59.64081954956055)",1,5.343109130859375,1,"(12.797122955322266, -29.63153648376465, 668.0814208984375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
12711712532,12673087527,"(0.5037018656730652, 0.33473458886146545)","(3.130580425262451, 204.83204650878906, 67.71574401855469)",1,5.3039703369140625,1,"(12.878028869628906, -29.390649795532227, 667.8074340820312)",1,"(0.5045697093009949, 0.31927716732025146)","(3.6107757091522217, 209.35275268554688, 69.36109161376953)",1,5.7266845703125,1,"(90.50193786621094, -27.547374725341797, 661.6019897460938)",1
