device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
11127432800,11062442584,"(0.4506874680519104, 0.3274967074394226)","(-26.202280044555664, 206.94882202148438, 68.48621368408203)",1,3.2190704345703125,1,"(-31.298189163208008, -117.69068908691406, 681.3388671875)",1,"(0.411293625831604, 0.3031632602214813)","(-47.998905181884766, 214.06546020507812, 71.07642364501953)",1,3.0885772705078125,1,"(23.638103485107422, -128.3165283203125, 683.55126953125)",1
11127449440,11062459224,"(0.44521811604499817, 0.31855207681655884)","(-29.22846794128418, 209.5648193359375, 69.43830108642578)",1,3.2126617431640625,1,"(-31.32614517211914, -117.7082290649414, 681.350830078125)",1,"(0.4107448160648346, 0.2992708683013916)","(-48.302581787109375, 215.203857421875, 71.49073791503906)",1,3.0808258056640625,1,"(23.61650848388672, -128.3166046142578, 683.5717163085938)",1
11127465482,11062475266,"(0.44589439034461975, 0.321277916431427)","(-28.854307174682617, 208.76759338378906, 69.14817810058594)",1,3.2309417724609375,1,"(-31.3426570892334, -117.69143676757812, 681.0806884765625)",1,"(0.41243255138397217, 0.3055223822593689)","(-47.368751525878906, 213.37551879882812, 70.82527160644531)",1,3.0852813720703125,1,"(23.570947647094727, -128.2670440673828, 683.28955078125)",1
11127482669,11062492453,"(0.4446106255054474, 0.3177660405635834)","(-29.56460952758789, 209.794677734375, 69.52200317382812)",1,3.2180023193359375,1,"(-31.343521118164062, -117.65597534179688, 680.7437133789062)",1,"(0.41031113266944885, 0.31221118569374084)","(-48.54252624511719, 211.4193115234375, 70.11327362060547)",1,3.105926513671875,1,"(23.553302764892578, -128.2135009765625, 682.98779296875)",1
11127499360,11062509144,"(0.44653603434562683, 0.31987252831459045)","(-28.499265670776367, 209.1786346435547, 69.2977523803711)",1,3.2220916748046875,1,"(-31.336048126220703, -117.614501953125, 680.2765502929688)",1,"(0.4118002653121948, 0.3064942955970764)","(-47.71857833862305, 213.09127807617188, 70.72184753417969)",1,3.1039581298828125,1,"(23.518857955932617, -128.15065002441406, 682.4784545898438)",1
11127515402,11062525186,"(0.442269891500473, 0.3255883753299713)","(-30.859737396240234, 207.50698852539062, 68.68928527832031)",1,3.2230072021484375,1,"(-31.301006317138672, -117.565673828125, 679.840087890625)",1,"(0.40927451848983765, 0.3023664653301239)","(-49.11603927612305, 214.2984619140625, 71.16127014160156)",1,3.0770721435546875,1,"(23.515657424926758, -128.109619140625, 682.0469360351562)",1
11127532635,11062542419,"(0.44388651847839355, 0.33101987838745117)","(-29.96528434753418, 205.91848754882812, 68.11111450195312)",1,3.2265472412109375,1,"(-31.27874183654785, -117.55142211914062, 679.6663208007812)",1,"(0.40758392214775085, 0.3048538565635681)","(-50.05149841308594, 213.57102966308594, 70.8965072631836)",1,3.08428955078125,1,"(23.528728485107422, -128.09837341308594, 681.8839111328125)",1
11127549280,11062559064,"(0.4491499364376068, 0.3337438702583313)","(-27.053043365478516, 205.121826171875, 67.82115173339844)",1,3.2455902099609375,1,"(-31.224205017089844, -117.52262115478516, 679.435546875)",1,"(0.4108097553253174, 0.29932570457458496)","(-48.2666130065918, 215.18775939941406, 71.48491668701172)",1,3.0772552490234375,1,"(23.56374168395996, -128.060546875, 681.6309204101562)",1
11127565322,11062575106,"(0.44707155227661133, 0.3245176076889038)","(-28.20297622680664, 207.8201446533203, 68.80325317382812)",1,3.2069854736328125,1,"(-31.108732223510742, -117.45938110351562, 679.2153930664062)",1,"(0.4112430512905121, 0.2993820607662201)","(-48.02687072753906, 215.17132568359375, 71.47888946533203)",1,3.0802764892578125,1,"(23.643909454345703, -128.00027465820312, 681.408203125)",1
11127582504,11062592288,"(0.4468521773815155, 0.3251449465751648)","(-28.324369430541992, 207.63668823242188, 68.73648834228516)",1,3.2191162109375,1,"(-31.041378021240234, -117.42994689941406, 679.2493896484375)",1,"(0.4117301404476166, 0.3011411428451538)","(-47.75737380981445, 214.6568603515625, 71.2916259765625)",1,3.0754547119140625,1,"(23.714998245239258, -127.97653198242188, 681.433349609375)",1
11127599200,11062608984,"(0.44633492827415466, 0.323682576417923)","(-28.610536575317383, 208.06434631347656, 68.89215850830078)",1,3.228057861328125,1,"(-30.944305419921875, -117.38300323486328, 679.3148803710938)",1,"(0.41069677472114563, 0.30141717195510864)","(-48.329132080078125, 214.57614135742188, 71.26224517822266)",1,3.0526580810546875,1,"(23.82503890991211, -127.95121002197266, 681.4915161132812)",1
11127615242,11062625027,"(0.4438506066799164, 0.327382355928421)","(-29.985126495361328, 206.98231506347656, 68.49830627441406)",1,3.2242279052734375,1,"(-30.81791877746582, -117.30766296386719, 679.3226318359375)",1,"(0.40768367052078247, 0.31006792187690735)","(-49.996280670166016, 212.0460968017578, 70.34141540527344)",1,3.0548248291015625,1,"(23.928701400756836, -127.9091567993164, 681.4788208007812)",1
11127632470,11062642255,"(0.4434944689273834, 0.31800055503845215)","(-30.182178497314453, 209.7261199951172, 69.49698638916016)",1,3.2230987548828125,1,"(-30.74151039123535, -117.21517944335938, 679.3326416015625)",1,"(0.40624403953552246, 0.29186323285102844)","(-50.79285430908203, 217.3703155517578, 72.27925872802734)",1,3.0679168701171875,1,"(23.979995727539062, -127.84651184082031, 681.4816284179688)",1
11127649120,11062658905,"(0.4387088716030121, 0.22190290689468384)","(-32.830039978027344, 237.8309783935547, 79.7264175415039)",1,3.248382568359375,1,"(-30.645458221435547, -116.94425201416016, 679.271240234375)",1,"(0.40765270590782166, 0.18866057693958282)","(-50.01341247558594, 247.55311584472656, 83.26492309570312)",1,3.08642578125,1,"(23.97261619567871, -127.5488510131836, 681.4210815429688)",1
11127665162,11062674947,"(0.4299076795578003, 0.17646130919456482)","(-37.699729919433594, 251.12094116210938, 84.56348419189453)",1,3.2415313720703125,1,"(-30.606212615966797, -116.72189331054688, 679.310546875)",1,"(0.3911912441253662, 0.14468379318714142)","(-59.12156295776367, 260.4146423339844, 87.94615936279297)",1,3.0813751220703125,1,"(23.945144653320312, -127.3610610961914, 681.452880859375)",1
11127682400,11062692185,"(0.4292762577533722, 0.1992303878068924)","(-38.04910659790039, 244.46185302734375, 82.13976287841797)",1,3.22039794921875,1,"(-30.589448928833008, -116.65130615234375, 679.164306640625)",1,"(0.38949453830718994, 0.14144067466259003)","(-60.0603141784668, 261.3631286621094, 88.29136657714844)",1,3.0880889892578125,1,"(23.965158462524414, -127.31877136230469, 681.2872924804688)",1
11127699040,11062708825,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3909885883331299, 0.1272706240415573)","(-59.23368835449219, 265.50732421875, 89.79969787597656)",1,3.0746612548828125,1,"(23.987926483154297, -127.23099517822266, 681.0206298828125)",1
11127715082,11062724867,"(0.4320458173751831, 0.19668710231781006)","(-36.51673126220703, 245.20567321777344, 82.4104995727539)",1,3.2239532470703125,1,"(-30.539968490600586, -116.50546264648438, 678.76904296875)",1,"(0.39266616106033325, 0.13628734648227692)","(-58.30546951293945, 262.8702392578125, 88.83992004394531)",1,3.0734100341796875,1,"(24.016437530517578, -127.1929702758789, 680.9140625)",1
11127732269,11062742054,"(0.43082818388938904, 0.19858305156230927)","(-37.190433502197266, 244.6511688232422, 82.20869445800781)",1,3.22601318359375,1,"(-30.529382705688477, -116.4964599609375, 678.7342529296875)",1,"(0.39247509837150574, 0.13695982098579407)","(-58.41120910644531, 262.6736145019531, 88.76834869384766)",1,3.05908203125,1,"(24.033145904541016, -127.17298889160156, 680.8583984375)",1
11127748960,11062758745,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3910428583621979, 0.1407625675201416)","(-59.20368957519531, 261.5614929199219, 88.36351013183594)",1,3.0581207275390625,1,"(24.069612503051758, -127.15274047851562, 680.8659057617188)",1
11127765002,11062774787,"(0.4326583743095398, 0.20375792682170868)","(-36.17779541015625, 243.1377716064453, 81.65776062011719)",1,3.205718994140625,1,"(-30.496845245361328, -116.50264739990234, 678.84375)",1,"(0.391986608505249, 0.14850105345249176)","(-58.68149185180664, 259.29827880859375, 87.5398178100586)",1,3.0460357666015625,1,"(24.102537155151367, -127.13143920898438, 680.9675903320312)",1
11127782138,11062791923,"(0.4201003313064575, 0.1932189017534256)","(-43.12617111206055, 246.22003173828125, 82.77962493896484)",1,3.2254180908203125,1,"(-30.546998977661133, -116.52127075195312, 678.9810791015625)",1,"(0.3794390559196472, 0.14847679436206818)","(-65.62405395507812, 259.30535888671875, 87.54240417480469)",1,3.0483856201171875,1,"(24.06630516052246, -127.13734436035156, 681.12841796875)",1
11127798880,11062808665,"(0.3410041630268097, 0.19003456830978394)","(-86.89009857177734, 247.1513214111328, 83.1186294555664)",1,3.21954345703125,1,"(-30.777462005615234, -116.52928161621094, 679.1231689453125)",1,"(0.2896275818347931, 0.13535882532596588)","(-115.3167724609375, 263.141845703125, 88.93876647949219)",1,3.02239990234375,1,"(23.72126007080078, -127.13114929199219, 681.3672485351562)",1
11127814922,11062824707,"(0.29616454243659973, 0.17734576761722565)","(-111.69985961914062, 250.86227416992188, 84.46932983398438)",1,3.194915771484375,1,"(-31.140546798706055, -116.87680053710938, 681.125)",1,"(0.2545093595981598, 0.12381011247634888)","(-134.74766540527344, 266.5194091796875, 90.1680908203125)",1,3.0125732421875,1,"(23.536813735961914, -127.47856903076172, 683.3488159179688)",1
11127832104,11062841890,"(0.29397112131118774, 0.18222671747207642)","(-112.91348266601562, 249.43479919433594, 83.94976043701172)",1,3.20074462890625,1,"(-31.169239044189453, -116.91041564941406, 681.2269287109375)",1,"(0.2565924823284149, 0.12575513124465942)","(-133.5950927734375, 265.9505920410156, 89.96104431152344)",1,3.012054443359375,1,"(23.540454864501953, -127.5027847290039, 683.4552612304688)",1
