device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
22137484317,22099392093,"(0.4918394982814789, 0.3261193633079529)","(-3.4328675270080566, 207.3516845703125, 68.63280487060547)",1,3.7671051025390625,1,"(-79.61507415771484, 5.700378894805908, 667.995849609375)",1,"(0.5024589896202087, 0.31838908791542053)","(2.4429118633270264, 209.6124725341797, 69.45570373535156)",1,3.6422882080078125,1,"(-20.748273849487305, -1.9328620433807373, 672.4205932617188)",1
22137501168,22099408944,"(0.49104881286621094, 0.33997786045074463)","(-3.8703341484069824, 203.298583984375, 67.1576156616211)",1,3.7803497314453125,1,"(-79.6490707397461, 5.703051567077637, 668.2119750976562)",1,"(0.49919793009757996, 0.3151630461215973)","(0.6385664939880371, 210.5559844970703, 69.79907989501953)",1,3.6306304931640625,1,"(-20.756351470947266, -1.9422856569290161, 672.6309204101562)",1
22137517390,22099425166,"(0.4926261007785797, 0.33807075023651123)","(-2.9976327419281006, 203.85635375976562, 67.36061096191406)",1,3.7632598876953125,1,"(-79.67131042480469, 5.71501350402832, 668.2996826171875)",1,"(0.4997897148132324, 0.32094451785087585)","(0.9660254716873169, 208.86509704589844, 69.18363952636719)",1,3.63531494140625,1,"(-20.761289596557617, -1.9327341318130493, 672.7116088867188)",1
22137534283,22099442059,"(0.4956686496734619, 0.3399662673473358)","(-1.314182162284851, 203.30197143554688, 67.15886688232422)",1,3.773712158203125,1,"(-79.67594146728516, 5.719231605529785, 668.3428344726562)",1,"(0.5011767148971558, 0.32178831100463867)","(1.7334165573120117, 208.6183319091797, 69.09381866455078)",1,3.6302032470703125,1,"(-20.758705139160156, -1.9311392307281494, 672.762939453125)",1
22137551084,22099458860,"(0.49370431900024414, 0.3342803716659546)","(-2.4010560512542725, 204.96487426757812, 67.76408386230469)",1,3.7542877197265625,1,"(-79.67431640625, 5.711771488189697, 668.3994140625)",1,"(0.49969422817230225, 0.31785523891448975)","(0.9131807088851929, 209.7686004638672, 69.51251220703125)",1,3.6208953857421875,1,"(-20.746843338012695, -1.9338726997375488, 672.8261108398438)",1
22137567314,22099475090,"(0.48861730098724365, 0.3243086040019989)","(-5.215692043304443, 207.88124084472656, 68.82554626464844)",1,3.7313385009765625,1,"(-79.67997741699219, 5.709417343139648, 668.6358642578125)",1,"(0.5031889081001282, 0.3149043917655945)","(2.846761465072632, 210.63162231445312, 69.82656860351562)",1,3.6235809326171875,1,"(-20.747238159179688, -1.948194146156311, 673.0357666015625)",1
22137584152,22099491928,"(0.49153682589530945, 0.3249116837978363)","(-3.6003403663635254, 207.7048797607422, 68.76133728027344)",1,3.7303466796875,1,"(-79.68462371826172, 5.709843635559082, 668.7291870117188)",1,"(0.49887731671333313, 0.31842175126075745)","(0.4611939489841461, 209.60293579101562, 69.45217895507812)",1,3.6205291748046875,1,"(-20.749881744384766, -1.9520323276519775, 673.1447143554688)",1
22137600999,22099508775,"(0.48963961005210876, 0.32509490847587585)","(-4.650079250335693, 207.6513214111328, 68.74181365966797)",1,3.723907470703125,1,"(-79.71189880371094, 5.707165718078613, 668.8892211914062)",1,"(0.49977993965148926, 0.3194027841091156)","(0.9605916142463684, 209.31602478027344, 69.34774780273438)",1,3.6268310546875,1,"(-20.769563674926758, -1.9617398977279663, 673.3101806640625)",1
22137617234,22099525010,"(0.48853328824043274, 0.3336002826690674)","(-5.262202739715576, 205.16378784179688, 67.83650207519531)",1,3.7541656494140625,1,"(-79.77957916259766, 5.696192264556885, 669.1163940429688)",1,"(0.5009119510650635, 0.32377609610557556)","(1.586937665939331, 208.03700256347656, 68.88220977783203)",1,3.65167236328125,1,"(-20.812803268432617, -1.9834223985671997, 673.5194702148438)",1
22137634118,22099541894,"(0.4859866797924042, 0.3351452350616455)","(-6.671217441558838, 204.7119598388672, 67.67205047607422)",1,3.7525177001953125,1,"(-79.82963562011719, 5.708192348480225, 669.2888793945312)",1,"(0.5023617148399353, 0.3244795501232147)","(2.3890626430511475, 207.8312530517578, 68.80736541748047)",1,3.64788818359375,1,"(-20.85408592224121, -1.9771887063980103, 673.7181396484375)",1
22137650915,22099558691,"(0.4912838339805603, 0.3372015058994293)","(-3.7403063774108887, 204.11056518554688, 67.45317077636719)",1,3.7607269287109375,1,"(-79.94364166259766, 5.743955612182617, 669.7100830078125)",1,"(0.4983656704425812, 0.33064964413642883)","(0.17809677124023438, 206.0267333984375, 68.15055847167969)",1,3.6629638671875,1,"(-20.904417037963867, -1.9492144584655762, 674.1744384765625)",1
22137667154,22099574930,"(0.4931832551956177, 0.33078035712242126)","(-2.689347505569458, 205.98855590820312, 68.13660430908203)",1,3.7565765380859375,1,"(-80.04702758789062, 5.750425338745117, 670.1602783203125)",1,"(0.4994555711746216, 0.31638050079345703)","(0.7811301946640015, 210.19992065429688, 69.66943359375)",1,3.65283203125,1,"(-20.972354888916016, -1.9512423276901245, 674.582763671875)",1
22137683988,22099591765,"(0.49004918336868286, 0.3311661183834076)","(-4.42344856262207, 205.8756866455078, 68.09556579589844)",1,3.7666778564453125,1,"(-80.0778579711914, 5.753843784332275, 670.2463989257812)",1,"(0.49902889132499695, 0.3141687512397766)","(0.5450204610824585, 210.8468017578125, 69.9048843383789)",1,3.6385040283203125,1,"(-21.002565383911133, -1.950835943222046, 674.6939697265625)",1
